PANTHER GO-Slim Biological Process	background_genelist.full.txt - REFLIST (12431)	nonoverlap.noca_only.csv (440)	nonoverlap.noca_only.csv (expected)	nonoverlap.noca_only.csv (over/under)	nonoverlap.noca_only.csv (fold Enrichment)	P-value
nucleobase-containing small molecule metabolic process (GO:0055086)	152	5	5.38	-	0.93	1.00E+00
programmed cell death (GO:0012501)	61	2	2.16	-	0.93	1.00E+00
cell death (GO:0008219)	61	2	2.16	-	0.93	1.00E+00
mRNA metabolic process (GO:0016071)	183	6	6.48	-	0.93	1.00E+00
amide metabolic process (GO:0043603)	244	8	8.64	-	0.93	1.00E+00
regulation of nucleobase-containing compound metabolic process (GO:0019219)	1283	42	45.41	-	0.92	6.33E-01
modification-dependent macromolecule catabolic process (GO:0043632)	214	7	7.57	-	0.92	1.00E+00
metabolic process (GO:0008152)	2876	94	101.8	-	0.92	3.88E-01
organic substance biosynthetic process (GO:1901576)	1255	41	44.42	-	0.92	6.29E-01
regulation of phosphorylation (GO:0042325)	184	6	6.51	-	0.92	1.00E+00
biosynthetic process (GO:0009058)	1258	41	44.53	-	0.92	6.29E-01
organelle localization (GO:0051640)	123	4	4.35	-	0.92	1.00E+00
regulation of catalytic activity (GO:0050790)	278	9	9.84	-	0.91	1.00E+00
cellular component assembly (GO:0022607)	556	18	19.68	-	0.91	8.14E-01
macromolecule catabolic process (GO:0009057)	340	11	12.03	-	0.91	8.82E-01
response to chemical (GO:0042221)	340	11	12.03	-	0.91	8.82E-01
cellular response to oxygen-containing compound (GO:1901701)	93	3	3.29	-	0.91	1.00E+00
dephosphorylation (GO:0016311)	93	3	3.29	-	0.91	1.00E+00
lipoprotein metabolic process (GO:0042157)	62	2	2.19	-	0.91	1.00E+00
negative regulation of Wnt signaling pathway (GO:0030178)	31	1	1.1	-	0.91	1.00E+00
negative regulation of protein kinase activity (GO:0006469)	31	1	1.1	-	0.91	1.00E+00
regulation of cellular component size (GO:0032535)	62	2	2.19	-	0.91	1.00E+00
cytoskeleton-dependent cytokinesis (GO:0061640)	31	1	1.1	-	0.91	1.00E+00
protein metabolic process (GO:0019538)	1340	43	47.43	-	0.91	5.32E-01
organophosphate biosynthetic process (GO:0090407)	156	5	5.52	-	0.91	1.00E+00
negative regulation of gene expression (GO:0010629)	125	4	4.42	-	0.9	1.00E+00
protein-DNA complex organization (GO:0071824)	125	4	4.42	-	0.9	1.00E+00
positive regulation of nitrogen compound metabolic process (GO:0051173)	438	14	15.5	-	0.9	7.93E-01
positive regulation of phosphorylation (GO:0042327)	126	4	4.46	-	0.9	1.00E+00
calcium ion homeostasis (GO:0055074)	63	2	2.23	-	0.9	1.00E+00
intracellular signaling cassette (GO:0141124)	159	5	5.63	-	0.89	1.00E+00
organelle organization (GO:0006996)	1018	32	36.03	-	0.89	5.36E-01
small GTPase-mediated signal transduction (GO:0007264)	64	2	2.27	-	0.88	1.00E+00
alcohol biosynthetic process (GO:0046165)	32	1	1.13	-	0.88	1.00E+00
phospholipid transport (GO:0015914)	32	1	1.13	-	0.88	1.00E+00
negative regulation of DNA-templated transcription (GO:0045892)	160	5	5.66	-	0.88	1.00E+00
vacuolar transport (GO:0007034)	64	2	2.27	-	0.88	1.00E+00
regulation of immune response (GO:0050776)	64	2	2.27	-	0.88	1.00E+00
negative regulation of RNA biosynthetic process (GO:1902679)	160	5	5.66	-	0.88	1.00E+00
cytokinesis (GO:0000910)	32	1	1.13	-	0.88	1.00E+00
organophosphate metabolic process (GO:0019637)	288	9	10.19	-	0.88	8.71E-01
regulation of metabolic process (GO:0019222)	1827	57	64.67	-	0.88	3.37E-01
monoatomic cation transport (GO:0006812)	257	8	9.1	-	0.88	8.65E-01
translation (GO:0006412)	129	4	4.57	-	0.88	1.00E+00
negative regulation of macromolecule biosynthetic process (GO:0010558)	291	9	10.3	-	0.87	8.72E-01
regulation of cellular catabolic process (GO:0031329)	97	3	3.43	-	0.87	1.00E+00
amide biosynthetic process (GO:0043604)	162	5	5.73	-	0.87	1.00E+00
organonitrogen compound metabolic process (GO:1901564)	1685	52	59.64	-	0.87	3.21E-01
positive regulation of phosphorus metabolic process (GO:0010562)	130	4	4.6	-	0.87	1.00E+00
positive regulation of phosphate metabolic process (GO:0045937)	130	4	4.6	-	0.87	1.00E+00
regulation of molecular function (GO:0065009)	358	11	12.67	-	0.87	7.71E-01
negative regulation of biosynthetic process (GO:0009890)	293	9	10.37	-	0.87	8.72E-01
negative regulation of cellular biosynthetic process (GO:0031327)	293	9	10.37	-	0.87	8.72E-01
positive regulation of macromolecule metabolic process (GO:0010604)	457	14	16.18	-	0.87	6.98E-01
regulation of macromolecule metabolic process (GO:0060255)	1708	52	60.46	-	0.86	2.59E-01
regulation of phosphorus metabolic process (GO:0051174)	198	6	7.01	-	0.86	8.47E-01
regulation of phosphate metabolic process (GO:0019220)	198	6	7.01	-	0.86	8.47E-01
negative regulation of protein phosphorylation (GO:0001933)	33	1	1.17	-	0.86	1.00E+00
negative regulation of transport (GO:0051051)	33	1	1.17	-	0.86	1.00E+00
negative regulation of phosphorylation (GO:0042326)	33	1	1.17	-	0.86	1.00E+00
proteolysis involved in protein catabolic process (GO:0051603)	264	8	9.34	-	0.86	8.65E-01
positive regulation of catalytic activity (GO:0043085)	165	5	5.84	-	0.86	1.00E+00
positive regulation of apoptotic process (GO:0043065)	33	1	1.17	-	0.86	1.00E+00
peptide biosynthetic process (GO:0043043)	132	4	4.67	-	0.86	1.00E+00
response to starvation (GO:0042594)	33	1	1.17	-	0.86	1.00E+00
vacuole organization (GO:0007033)	66	2	2.34	-	0.86	1.00E+00
microtubule-based process (GO:0007017)	264	8	9.34	-	0.86	8.65E-01
regulation of primary metabolic process (GO:0080090)	1590	48	56.28	-	0.85	2.45E-01
negative regulation of cellular metabolic process (GO:0031324)	366	11	12.95	-	0.85	6.68E-01
protein modification by small protein conjugation (GO:0032446)	200	6	7.08	-	0.85	8.47E-01
regulation of nitrogen compound metabolic process (GO:0051171)	1569	47	55.54	-	0.85	2.42E-01
organic substance catabolic process (GO:1901575)	535	16	18.94	-	0.84	5.51E-01
intracellular transport (GO:0046907)	436	13	15.43	-	0.84	5.99E-01
intracellular protein transport (GO:0006886)	169	5	5.98	-	0.84	8.35E-01
establishment of localization (GO:0051234)	1354	40	47.93	-	0.83	2.42E-01
organelle assembly (GO:0070925)	271	8	9.59	-	0.83	7.39E-01
negative regulation of supramolecular fiber organization (GO:1902904)	34	1	1.2	-	0.83	1.00E+00
"retrograde transport, endosome to Golgi (GO:0042147)"	34	1	1.2	-	0.83	1.00E+00
eye development (GO:0001654)	34	1	1.2	-	0.83	1.00E+00
regulation of microtubule cytoskeleton organization (GO:0070507)	34	1	1.2	-	0.83	1.00E+00
positive regulation of mRNA metabolic process (GO:1903313)	34	1	1.2	-	0.83	1.00E+00
visual system development (GO:0150063)	34	1	1.2	-	0.83	1.00E+00
sensory system development (GO:0048880)	34	1	1.2	-	0.83	1.00E+00
positive regulation of programmed cell death (GO:0043068)	34	1	1.2	-	0.83	1.00E+00
nucleoside phosphate catabolic process (GO:1901292)	34	1	1.2	-	0.83	1.00E+00
negative regulation of catabolic process (GO:0009895)	34	1	1.2	-	0.83	1.00E+00
response to stress (GO:0006950)	477	14	16.88	-	0.83	5.29E-01
localization (GO:0051179)	1502	44	53.16	-	0.83	1.81E-01
cellular macromolecule localization (GO:0070727)	445	13	15.75	-	0.83	6.00E-01
protein localization (GO:0008104)	445	13	15.75	-	0.83	6.00E-01
protein catabolic process (GO:0030163)	275	8	9.73	-	0.82	7.40E-01
negative regulation of cellular process (GO:0048523)	724	21	25.63	-	0.82	4.06E-01
protein targeting (GO:0006605)	69	2	2.44	-	0.82	1.00E+00
extracellular matrix organization (GO:0030198)	104	3	3.68	-	0.81	1.00E+00
extracellular structure organization (GO:0043062)	104	3	3.68	-	0.81	1.00E+00
external encapsulating structure organization (GO:0045229)	104	3	3.68	-	0.81	1.00E+00
"mRNA splicing, via spliceosome (GO:0000398)"	104	3	3.68	-	0.81	1.00E+00
"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)"	104	3	3.68	-	0.81	1.00E+00
"RNA splicing, via transesterification reactions (GO:0000375)"	104	3	3.68	-	0.81	1.00E+00
transport (GO:0006810)	1285	37	45.48	-	0.81	2.02E-01
establishment of protein localization (GO:0045184)	279	8	9.88	-	0.81	7.42E-01
regulation of immune system process (GO:0002682)	105	3	3.72	-	0.81	1.00E+00
negative regulation of cytoskeleton organization (GO:0051494)	35	1	1.24	-	0.81	1.00E+00
nicotinamide nucleotide metabolic process (GO:0046496)	35	1	1.24	-	0.81	1.00E+00
glycerophospholipid biosynthetic process (GO:0046474)	70	2	2.48	-	0.81	1.00E+00
amino acid catabolic process (GO:0009063)	35	1	1.24	-	0.81	1.00E+00
pyridine nucleotide metabolic process (GO:0019362)	35	1	1.24	-	0.81	1.00E+00
mitotic cell cycle phase transition (GO:0044772)	35	1	1.24	-	0.81	1.00E+00
cell cycle phase transition (GO:0044770)	35	1	1.24	-	0.81	1.00E+00
protein-RNA complex assembly (GO:0022618)	70	2	2.48	-	0.81	1.00E+00
regulation of localization (GO:0032879)	211	6	7.47	-	0.8	7.09E-01
post-translational protein modification (GO:0043687)	282	8	9.98	-	0.8	6.26E-01
microtubule-based movement (GO:0007018)	106	3	3.75	-	0.8	1.00E+00
negative regulation of RNA metabolic process (GO:0051253)	177	5	6.26	-	0.8	8.36E-01
lipid catabolic process (GO:0016042)	71	2	2.51	-	0.8	1.00E+00
organonitrogen compound catabolic process (GO:1901565)	393	11	13.91	-	0.79	4.89E-01
carbohydrate derivative metabolic process (GO:1901135)	322	9	11.4	-	0.79	5.43E-01
vesicle-mediated transport (GO:0016192)	466	13	16.49	-	0.79	4.43E-01
catabolic process (GO:0009056)	610	17	21.59	-	0.79	3.68E-01
negative regulation of metabolic process (GO:0009892)	395	11	13.98	-	0.79	4.89E-01
positive regulation of gene expression (GO:0010628)	72	2	2.55	-	0.78	1.00E+00
regulation of DNA metabolic process (GO:0051052)	36	1	1.27	-	0.78	1.00E+00
negative regulation of phosphorus metabolic process (GO:0010563)	36	1	1.27	-	0.78	1.00E+00
negative regulation of phosphate metabolic process (GO:0045936)	36	1	1.27	-	0.78	1.00E+00
establishment of vesicle localization (GO:0051650)	36	1	1.27	-	0.78	1.00E+00
response to external stimulus (GO:0009605)	144	4	5.1	-	0.78	8.21E-01
pyridine-containing compound metabolic process (GO:0072524)	36	1	1.27	-	0.78	1.00E+00
epigenetic regulation of gene expression (GO:0040029)	36	1	1.27	-	0.78	1.00E+00
positive regulation of catabolic process (GO:0009896)	72	2	2.55	-	0.78	1.00E+00
DNA repair (GO:0006281)	181	5	6.41	-	0.78	8.38E-01
regulation of anatomical structure size (GO:0090066)	73	2	2.58	-	0.77	1.00E+00
calcium ion transport (GO:0006816)	73	2	2.58	-	0.77	1.00E+00
amino acid metabolic process (GO:0006520)	110	3	3.89	-	0.77	1.00E+00
immune response-activating signaling pathway (GO:0002757)	37	1	1.31	-	0.76	1.00E+00
epithelium development (GO:0060429)	37	1	1.31	-	0.76	1.00E+00
neurotransmitter secretion (GO:0007269)	37	1	1.31	-	0.76	1.00E+00
positive regulation of transport (GO:0051050)	37	1	1.31	-	0.76	1.00E+00
taxis (GO:0042330)	37	1	1.31	-	0.76	1.00E+00
response to extracellular stimulus (GO:0009991)	37	1	1.31	-	0.76	1.00E+00
chemotaxis (GO:0006935)	37	1	1.31	-	0.76	1.00E+00
locomotion (GO:0040011)	37	1	1.31	-	0.76	1.00E+00
response to nutrient levels (GO:0031667)	37	1	1.31	-	0.76	1.00E+00
post-Golgi vesicle-mediated transport (GO:0006892)	37	1	1.31	-	0.76	1.00E+00
signal release from synapse (GO:0099643)	37	1	1.31	-	0.76	1.00E+00
DNA damage response (GO:0006974)	223	6	7.89	-	0.76	7.12E-01
organonitrogen compound biosynthetic process (GO:1901566)	484	13	17.13	-	0.76	3.78E-01
protein-containing complex organization (GO:0043933)	336	9	11.89	-	0.76	4.56E-01
protein-RNA complex organization (GO:0071826)	75	2	2.65	-	0.75	1.00E+00
positive regulation of multicellular organismal process (GO:0051240)	75	2	2.65	-	0.75	1.00E+00
protein localization to organelle (GO:0033365)	188	5	6.65	-	0.75	6.90E-01
protein modification by small protein conjugation or removal (GO:0070647)	265	7	9.38	-	0.75	6.12E-01
response to abiotic stimulus (GO:0009628)	76	2	2.69	-	0.74	1.00E+00
ceramide metabolic process (GO:0006672)	38	1	1.35	-	0.74	1.00E+00
carboxylic acid catabolic process (GO:0046395)	76	2	2.69	-	0.74	1.00E+00
mitotic sister chromatid segregation (GO:0000070)	38	1	1.35	-	0.74	1.00E+00
organic acid catabolic process (GO:0016054)	76	2	2.69	-	0.74	1.00E+00
small molecule metabolic process (GO:0044281)	419	11	14.83	-	0.74	3.48E-01
protein transport (GO:0015031)	229	6	8.11	-	0.74	5.87E-01
negative regulation of macromolecule metabolic process (GO:0010605)	383	10	13.56	-	0.74	3.98E-01
response to oxygen-containing compound (GO:1901700)	115	3	4.07	-	0.74	8.00E-01
RNA modification (GO:0009451)	77	2	2.73	-	0.73	1.00E+00
negative regulation of nucleobase-containing compound metabolic process (GO:0045934)	194	5	6.87	-	0.73	6.93E-01
immune response-regulating signaling pathway (GO:0002764)	39	1	1.38	-	0.72	1.00E+00
vasculature development (GO:0001944)	39	1	1.38	-	0.72	1.00E+00
cytosolic transport (GO:0016482)	39	1	1.38	-	0.72	1.00E+00
ERAD pathway (GO:0036503)	39	1	1.38	-	0.72	1.00E+00
RNA splicing (GO:0008380)	117	3	4.14	-	0.72	8.01E-01
positive regulation of molecular function (GO:0044093)	196	5	6.94	-	0.72	5.61E-01
cellular catabolic process (GO:0044248)	314	8	11.11	-	0.72	4.38E-01
localization within membrane (GO:0051668)	158	4	5.59	-	0.72	6.64E-01
proteolysis (GO:0006508)	399	10	14.12	-	0.71	3.33E-01
blood circulation (GO:0008015)	40	1	1.42	-	0.71	1.00E+00
protein O-linked glycosylation (GO:0006493)	40	1	1.42	-	0.71	1.00E+00
glycerolipid biosynthetic process (GO:0045017)	80	2	2.83	-	0.71	1.00E+00
autophagy of mitochondrion (GO:0000422)	40	1	1.42	-	0.71	1.00E+00
cell division (GO:0051301)	40	1	1.42	-	0.71	1.00E+00
glycerophospholipid metabolic process (GO:0006650)	120	3	4.25	-	0.71	8.02E-01
establishment of protein localization to organelle (GO:0072594)	120	3	4.25	-	0.71	8.02E-01
neurotransmitter transport (GO:0006836)	40	1	1.42	-	0.71	1.00E+00
negative regulation of nitrogen compound metabolic process (GO:0051172)	282	7	9.98	-	0.7	4.15E-01
macromolecule localization (GO:0033036)	564	14	19.96	-	0.7	1.98E-01
cellular response to stress (GO:0033554)	363	9	12.85	-	0.7	3.14E-01
Golgi vesicle transport (GO:0048193)	122	3	4.32	-	0.69	8.03E-01
phospholipid biosynthetic process (GO:0008654)	82	2	2.9	-	0.69	1.00E+00
sphingolipid biosynthetic process (GO:0030148)	41	1	1.45	-	0.69	1.00E+00
sensory perception (GO:0007600)	41	1	1.45	-	0.69	1.00E+00
regulation of hydrolase activity (GO:0051336)	123	3	4.35	-	0.69	8.04E-01
nuclear transport (GO:0051169)	83	2	2.94	-	0.68	1.00E+00
nucleocytoplasmic transport (GO:0006913)	83	2	2.94	-	0.68	1.00E+00
regulation of transport (GO:0051049)	167	4	5.91	-	0.68	5.31E-01
signal release (GO:0023061)	42	1	1.49	-	0.67	1.00E+00
sister chromatid segregation (GO:0000819)	42	1	1.49	-	0.67	1.00E+00
regulation of transmembrane transporter activity (GO:0022898)	42	1	1.49	-	0.67	1.00E+00
tube development (GO:0035295)	42	1	1.49	-	0.67	1.00E+00
mitotic nuclear division (GO:0140014)	42	1	1.49	-	0.67	1.00E+00
mRNA processing (GO:0006397)	126	3	4.46	-	0.67	6.31E-01
negative regulation of protein modification process (GO:0031400)	42	1	1.49	-	0.67	1.00E+00
regulation of monoatomic ion transmembrane transporter activity (GO:0032412)	42	1	1.49	-	0.67	1.00E+00
organelle fission (GO:0048285)	85	2	3.01	-	0.66	7.71E-01
regulation of protein kinase activity (GO:0045859)	85	2	3.01	-	0.66	7.71E-01
animal organ morphogenesis (GO:0009887)	85	2	3.01	-	0.66	7.71E-01
carbohydrate derivative biosynthetic process (GO:1901137)	213	5	7.54	-	0.66	4.53E-01
intracellular signal transduction (GO:0035556)	343	8	12.14	-	0.66	2.97E-01
proteinogenic amino acid metabolic process (GO:0170039)	43	1	1.52	-	0.66	1.00E+00
circulatory system process (GO:0003013)	43	1	1.52	-	0.66	1.00E+00
organic hydroxy compound biosynthetic process (GO:1901617)	43	1	1.52	-	0.66	1.00E+00
DNA metabolic process (GO:0006259)	259	6	9.17	-	0.65	3.92E-01
lipid metabolic process (GO:0006629)	348	8	12.32	-	0.65	2.40E-01
actin filament organization (GO:0007015)	131	3	4.64	-	0.65	6.33E-01
lipid biosynthetic process (GO:0008610)	175	4	6.19	-	0.65	5.33E-01
cellular lipid metabolic process (GO:0044255)	307	7	10.87	-	0.64	2.74E-01
activation of immune response (GO:0002253)	44	1	1.56	-	0.64	1.00E+00
regulation of transporter activity (GO:0032409)	44	1	1.56	-	0.64	1.00E+00
negative regulation of protein metabolic process (GO:0051248)	89	2	3.15	-	0.63	7.72E-01
regulation of protein phosphorylation (GO:0001932)	134	3	4.74	-	0.63	6.35E-01
organic anion transport (GO:0015711)	134	3	4.74	-	0.63	6.35E-01
regulation of neuron projection development (GO:0010975)	45	1	1.59	-	0.63	1.00E+00
head development (GO:0060322)	45	1	1.59	-	0.63	1.00E+00
brain development (GO:0007420)	45	1	1.59	-	0.63	1.00E+00
ribosomal small subunit biogenesis (GO:0042274)	45	1	1.59	-	0.63	1.00E+00
establishment of organelle localization (GO:0051656)	91	2	3.22	-	0.62	7.73E-01
glycerolipid metabolic process (GO:0046486)	137	3	4.85	-	0.62	6.37E-01
regulation of catabolic process (GO:0009894)	137	3	4.85	-	0.62	6.37E-01
phosphatidylinositol metabolic process (GO:0046488)	92	2	3.26	-	0.61	7.74E-01
small molecule catabolic process (GO:0044282)	92	2	3.26	-	0.61	7.74E-01
regulation of monoatomic cation transmembrane transport (GO:1904062)	46	1	1.63	-	0.61	1.00E+00
Golgi organization (GO:0007030)	46	1	1.63	-	0.61	1.00E+00
regulation of cell migration (GO:0030334)	93	2	3.29	-	0.61	7.75E-01
regulation of small GTPase mediated signal transduction (GO:0051056)	47	1	1.66	-	0.6	1.00E+00
regulation of apoptotic process (GO:0042981)	95	2	3.36	-	0.59	7.76E-01
regulation of microtubule-based process (GO:0032886)	48	1	1.7	-	0.59	1.00E+00
cell cycle process (GO:0022402)	240	5	8.49	-	0.59	2.88E-01
autophagosome assembly (GO:0000045)	48	1	1.7	-	0.59	1.00E+00
nuclear-transcribed mRNA catabolic process (GO:0000956)	48	1	1.7	-	0.59	1.00E+00
double-strand break repair (GO:0006302)	97	2	3.43	-	0.58	5.87E-01
regulation of cell motility (GO:2000145)	97	2	3.43	-	0.58	5.87E-01
regulation of locomotion (GO:0040012)	97	2	3.43	-	0.58	5.87E-01
organic substance transport (GO:0071702)	486	10	17.2	-	0.58	7.84E-02
organophosphate ester transport (GO:0015748)	49	1	1.73	-	0.58	1.00E+00
regulation of protein metabolic process (GO:0051246)	294	6	10.41	-	0.58	1.99E-01
regulation of programmed cell death (GO:0043067)	99	2	3.5	-	0.57	5.87E-01
inorganic ion homeostasis (GO:0098771)	100	2	3.54	-	0.57	5.87E-01
phospholipid metabolic process (GO:0006644)	151	3	5.34	-	0.56	3.80E-01
positive regulation of GTPase activity (GO:0043547)	51	1	1.81	-	0.55	1.00E+00
regulation of mRNA stability (GO:0043488)	51	1	1.81	-	0.55	1.00E+00
establishment or maintenance of cell polarity (GO:0007163)	51	1	1.81	-	0.55	1.00E+00
carboxylic acid transport (GO:0046942)	102	2	3.61	-	0.55	5.88E-01
organic acid transport (GO:0015849)	102	2	3.61	-	0.55	5.88E-01
regulation of protein modification process (GO:0031399)	154	3	5.45	-	0.55	3.80E-01
L-amino acid metabolic process (GO:0170033)	52	1	1.84	-	0.54	1.00E+00
regulation of RNA stability (GO:0043487)	52	1	1.84	-	0.54	1.00E+00
nitrogen compound transport (GO:0071705)	365	7	12.92	-	0.54	1.11E-01
secretion by cell (GO:0032940)	105	2	3.72	-	0.54	5.91E-01
cell cycle (GO:0007049)	264	5	9.34	-	0.54	1.76E-01
transport along microtubule (GO:0010970)	53	1	1.88	-	0.53	1.00E+00
regulation of metal ion transport (GO:0010959)	53	1	1.88	-	0.53	1.00E+00
supramolecular fiber organization (GO:0097435)	214	4	7.57	-	0.53	2.59E-01
secretion (GO:0046903)	107	2	3.79	-	0.53	5.93E-01
negative regulation of organelle organization (GO:0010639)	54	1	1.91	-	0.52	1.00E+00
nuclear chromosome segregation (GO:0098813)	54	1	1.91	-	0.52	1.00E+00
protein processing (GO:0016485)	54	1	1.91	-	0.52	1.00E+00
regulation of mRNA catabolic process (GO:0061013)	54	1	1.91	-	0.52	1.00E+00
positive regulation of immune response (GO:0050778)	54	1	1.91	-	0.52	1.00E+00
lipoprotein biosynthetic process (GO:0042158)	55	1	1.95	-	0.51	1.00E+00
protein lipidation (GO:0006497)	55	1	1.95	-	0.51	1.00E+00
sphingolipid metabolic process (GO:0006665)	55	1	1.95	-	0.51	1.00E+00
microtubule-based transport (GO:0099111)	55	1	1.95	-	0.51	1.00E+00
organelle disassembly (GO:1903008)	56	1	1.98	-	0.5	7.24E-01
protein deubiquitination (GO:0016579)	56	1	1.98	-	0.5	7.24E-01
small molecule biosynthetic process (GO:0044283)	112	2	3.96	-	0.5	4.42E-01
system process (GO:0003008)	112	2	3.96	-	0.5	4.42E-01
mitotic cell cycle (GO:0000278)	171	3	6.05	-	0.5	2.93E-01
cytokine-mediated signaling pathway (GO:0019221)	57	1	2.02	-	0.5	7.24E-01
mitochondrion organization (GO:0007005)	114	2	4.04	-	0.5	4.43E-01
immune system process (GO:0002376)	115	2	4.07	-	0.49	4.44E-01
endomembrane system organization (GO:0010256)	116	2	4.11	-	0.49	4.45E-01
defense response (GO:0006952)	58	1	2.05	-	0.49	7.24E-01
chromosome organization (GO:0051276)	116	2	4.11	-	0.49	4.45E-01
export from cell (GO:0140352)	119	2	4.21	-	0.47	4.48E-01
carbohydrate derivative catabolic process (GO:1901136)	60	1	2.12	-	0.47	7.25E-01
membrane lipid biosynthetic process (GO:0046467)	60	1	2.12	-	0.47	7.25E-01
regulation of monoatomic ion transmembrane transport (GO:0034765)	60	1	2.12	-	0.47	7.25E-01
amino acid transport (GO:0006865)	60	1	2.12	-	0.47	7.25E-01
nervous system process (GO:0050877)	61	1	2.16	-	0.46	7.26E-01
negative regulation of catalytic activity (GO:0043086)	61	1	2.16	-	0.46	7.26E-01
cellular response to cytokine stimulus (GO:0071345)	61	1	2.16	-	0.46	7.26E-01
macroautophagy (GO:0016236)	62	1	2.19	-	0.46	7.27E-01
cellular lipid catabolic process (GO:0044242)	63	1	2.23	-	0.45	7.28E-01
response to endoplasmic reticulum stress (GO:0034976)	64	1	2.27	-	0.44	7.29E-01
protein-containing complex assembly (GO:0065003)	193	3	6.83	-	0.44	1.67E-01
negative regulation of cellular component organization (GO:0051129)	65	1	2.3	-	0.43	7.30E-01
positive regulation of cell population proliferation (GO:0008284)	65	1	2.3	-	0.43	7.30E-01
protein modification by small protein removal (GO:0070646)	65	1	2.3	-	0.43	7.30E-01
mitotic cell cycle process (GO:1903047)	137	2	4.85	-	0.41	2.45E-01
regulation of monoatomic ion transport (GO:0043269)	69	1	2.44	-	0.41	5.21E-01
response to cytokine (GO:0034097)	70	1	2.48	-	0.4	5.21E-01
positive regulation of hydrolase activity (GO:0051345)	71	1	2.51	-	0.4	5.21E-01
regulation of transmembrane transport (GO:0034762)	71	1	2.51	-	0.4	5.21E-01
autophagy (GO:0006914)	71	1	2.51	-	0.4	5.21E-01
DNA replication (GO:0006260)	71	1	2.51	-	0.4	5.21E-01
process utilizing autophagic mechanism (GO:0061919)	71	1	2.51	-	0.4	5.21E-01
purine ribonucleotide metabolic process (GO:0009150)	72	1	2.55	-	0.39	5.22E-01
carboxylic acid metabolic process (GO:0019752)	216	3	7.65	-	0.39	9.31E-02
organic acid metabolic process (GO:0006082)	218	3	7.72	-	0.39	9.35E-02
oxoacid metabolic process (GO:0043436)	218	3	7.72	-	0.39	9.35E-02
positive regulation of immune system process (GO:0002684)	73	1	2.58	-	0.39	5.23E-01
nuclear division (GO:0000280)	74	1	2.62	-	0.38	5.24E-01
positive regulation of protein metabolic process (GO:0051247)	148	2	5.24	-	0.38	1.80E-01
positive regulation of protein phosphorylation (GO:0001934)	76	1	2.69	-	0.37	5.26E-01
central nervous system development (GO:0007417)	76	1	2.69	-	0.37	5.26E-01
membrane lipid metabolic process (GO:0006643)	76	1	2.69	-	0.37	5.26E-01
ribonucleotide metabolic process (GO:0009259)	79	1	2.8	-	0.36	5.31E-01
alpha-amino acid metabolic process (GO:1901605)	80	1	2.83	-	0.35	5.34E-01
positive regulation of protein modification process (GO:0031401)	81	1	2.87	-	0.35	3.72E-01
DNA recombination (GO:0006310)	83	1	2.94	-	0.34	3.73E-01
fatty acid metabolic process (GO:0006631)	83	1	2.94	-	0.34	3.73E-01
lipid transport (GO:0006869)	84	1	2.97	-	0.34	3.73E-01
ribose phosphate metabolic process (GO:0019693)	85	1	3.01	-	0.33	3.74E-01
exocytosis (GO:0006887)	86	1	3.04	-	0.33	3.75E-01
lipid localization (GO:0010876)	87	1	3.08	-	0.32	3.76E-01
regulation of mRNA metabolic process (GO:1903311)	88	1	3.11	-	0.32	3.77E-01
non-membrane-bounded organelle assembly (GO:0140694)	101	1	3.57	-	0.28	2.71E-01
protein folding (GO:0006457)	102	1	3.61	-	0.28	2.72E-01
monocarboxylic acid metabolic process (GO:0032787)	115	1	4.07	-	0.25	1.95E-01
regulation of cell cycle (GO:0051726)	149	1	5.27	-	0.19	6.84E-02
adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002460)	2	0	0.07	-	 < 0.01	1.00E+00
ribonucleoside triphosphate metabolic process (GO:0009199)	25	0	0.88	-	 < 0.01	1.00E+00
mononuclear cell migration (GO:0071674)	3	0	0.11	-	 < 0.01	1.00E+00
intermediate filament organization (GO:0045109)	10	0	0.35	-	 < 0.01	1.00E+00
tissue morphogenesis (GO:0048729)	23	0	0.81	-	 < 0.01	1.00E+00
centriole assembly (GO:0098534)	9	0	0.32	-	 < 0.01	1.00E+00
intermediate filament cytoskeleton organization (GO:0045104)	14	0	0.5	-	 < 0.01	1.00E+00
intermediate filament-based process (GO:0045103)	14	0	0.5	-	 < 0.01	1.00E+00
vitamin transport (GO:0051180)	12	0	0.42	-	 < 0.01	1.00E+00
TOR signaling (GO:0031929)	10	0	0.35	-	 < 0.01	1.00E+00
protein localization to mitochondrion (GO:0070585)	20	0	0.71	-	 < 0.01	1.00E+00
mitotic cytokinesis (GO:0000281)	14	0	0.5	-	 < 0.01	1.00E+00
negative regulation of actin filament polymerization (GO:0030837)	23	0	0.81	-	 < 0.01	1.00E+00
sperm-egg recognition (GO:0035036)	1	0	0.04	-	 < 0.01	1.00E+00
negative regulation of actin filament depolymerization (GO:0030835)	18	0	0.64	-	 < 0.01	1.00E+00
regulation of actin filament depolymerization (GO:0030834)	20	0	0.71	-	 < 0.01	1.00E+00
meiotic sister chromatid cohesion (GO:0051177)	2	0	0.07	-	 < 0.01	1.00E+00
cyclic nucleotide metabolic process (GO:0009187)	8	0	0.28	-	 < 0.01	1.00E+00
regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043281)	18	0	0.64	-	 < 0.01	1.00E+00
