PANTHER GO-Slim Biological Process	background_genelist.full.txt - REFLIST (12732)	noca.fst.50000kb.genenames_filtered.txt (356)	noca.fst.50000kb.genenames_filtered.txt (expected)	noca.fst.50000kb.genenames_filtered.txt (over/under)	noca.fst.50000kb.genenames_filtered.txt (fold Enrichment)	P-value
cellular aromatic compound metabolic process (GO:0006725)	973	22	27.21	-	0.81	3.61E-01
intracellular signal transduction (GO:0035556)	354	8	9.9	-	0.81	7.42E-01
lipid metabolic process (GO:0006629)	355	8	9.93	-	0.81	6.26E-01
macromolecule localization (GO:0033036)	578	13	16.16	-	0.8	5.17E-01
microtubule-based process (GO:0007017)	267	6	7.47	-	0.8	7.09E-01
intracellular protein transport (GO:0006886)	178	4	4.98	-	0.8	8.21E-01
organic anion transport (GO:0015711)	134	3	3.75	-	0.8	1.00E+00
cellular response to endogenous stimulus (GO:0071495)	179	4	5.01	-	0.8	8.21E-01
cellular lipid metabolic process (GO:0044255)	314	7	8.78	-	0.8	7.27E-01
microtubule cytoskeleton organization (GO:0000226)	180	4	5.03	-	0.79	8.21E-01
regulation of kinase activity (GO:0043549)	135	3	3.77	-	0.79	1.00E+00
regulation of cell adhesion (GO:0030155)	45	1	1.26	-	0.79	1.00E+00
cellular catabolic process (GO:0044248)	315	7	8.81	-	0.79	7.28E-01
peptide biosynthetic process (GO:0043043)	135	3	3.77	-	0.79	1.00E+00
negative regulation of metabolic process (GO:0009892)	406	9	11.35	-	0.79	6.44E-01
cellular response to organic substance (GO:0071310)	181	4	5.06	-	0.79	8.21E-01
establishment of organelle localization (GO:0051656)	91	2	2.54	-	0.79	1.00E+00
animal organ morphogenesis (GO:0009887)	91	2	2.54	-	0.79	1.00E+00
regulation of molecular function (GO:0065009)	364	8	10.18	-	0.79	6.27E-01
peptide metabolic process (GO:0006518)	182	4	5.09	-	0.79	8.21E-01
positive regulation of metabolic process (GO:0009893)	547	12	15.29	-	0.78	5.06E-01
cellular nitrogen compound metabolic process (GO:0034641)	1098	24	30.7	-	0.78	2.14E-01
nucleobase-containing compound metabolic process (GO:0006139)	917	20	25.64	-	0.78	2.97E-01
regulation of neuron projection development (GO:0010975)	46	1	1.29	-	0.78	1.00E+00
head development (GO:0060322)	46	1	1.29	-	0.78	1.00E+00
regulation of transferase activity (GO:0051338)	138	3	3.86	-	0.78	1.00E+00
brain development (GO:0007420)	46	1	1.29	-	0.78	1.00E+00
vesicle fusion (GO:0006906)	46	1	1.29	-	0.78	1.00E+00
regulation of transporter activity (GO:0032409)	46	1	1.29	-	0.78	1.00E+00
organic cyclic compound metabolic process (GO:1901360)	1013	22	28.32	-	0.78	2.33E-01
regulation of phosphorylation (GO:0042325)	185	4	5.17	-	0.77	8.21E-01
mRNA metabolic process (GO:0016071)	185	4	5.17	-	0.77	8.21E-01
positive regulation of intracellular signal transduction (GO:1902533)	139	3	3.89	-	0.77	1.00E+00
regulation of catabolic process (GO:0009894)	139	3	3.89	-	0.77	1.00E+00
carbohydrate derivative metabolic process (GO:1901135)	325	7	9.09	-	0.77	6.09E-01
protein modification process (GO:0036211)	790	17	22.09	-	0.77	3.15E-01
tRNA metabolic process (GO:0006399)	93	2	2.6	-	0.77	1.00E+00
negative regulation of response to stimulus (GO:0048585)	186	4	5.2	-	0.77	8.22E-01
mitotic cell cycle process (GO:1903047)	140	3	3.91	-	0.77	1.00E+00
regulation of signal transduction (GO:0009966)	469	10	13.11	-	0.76	4.74E-01
protein-containing complex disassembly (GO:0032984)	47	1	1.31	-	0.76	1.00E+00
regulation of small GTPase mediated signal transduction (GO:0051056)	47	1	1.31	-	0.76	1.00E+00
organelle membrane fusion (GO:0090174)	47	1	1.31	-	0.76	1.00E+00
post-translational protein modification (GO:0043687)	286	6	8	-	0.75	5.87E-01
protein transport (GO:0015031)	240	5	6.71	-	0.75	6.91E-01
response to organonitrogen compound (GO:0010243)	96	2	2.68	-	0.75	1.00E+00
regulation of monoatomic cation transmembrane transport (GO:1904062)	48	1	1.34	-	0.75	1.00E+00
cellular component disassembly (GO:0022411)	96	2	2.68	-	0.75	1.00E+00
autophagosome assembly (GO:0000045)	48	1	1.34	-	0.75	1.00E+00
nuclear-transcribed mRNA catabolic process (GO:0000956)	48	1	1.34	-	0.75	1.00E+00
heterocycle metabolic process (GO:0046483)	965	20	26.98	-	0.74	1.86E-01
response to endogenous stimulus (GO:0009719)	194	4	5.42	-	0.74	8.24E-01
metabolic process (GO:0008152)	2921	60	81.67	-	0.73	4.86E-03
organophosphate ester transport (GO:0015748)	49	1	1.37	-	0.73	1.00E+00
double-strand break repair (GO:0006302)	98	2	2.74	-	0.73	1.00E+00
regulation of cell migration (GO:0030334)	98	2	2.74	-	0.73	1.00E+00
organic substance metabolic process (GO:0071704)	2796	57	78.18	-	0.73	5.19E-03
organic substance biosynthetic process (GO:1901576)	1280	26	35.79	-	0.73	8.88E-02
negative regulation of macromolecule metabolic process (GO:0010605)	394	8	11.02	-	0.73	4.37E-01
proteasomal protein catabolic process (GO:0010498)	148	3	4.14	-	0.72	8.01E-01
biosynthetic process (GO:0009058)	1283	26	35.87	-	0.72	8.90E-02
positive regulation of molecular function (GO:0044093)	198	4	5.54	-	0.72	6.65E-01
cytoskeleton organization (GO:0007010)	447	9	12.5	-	0.72	3.80E-01
organic substance transport (GO:0071702)	497	10	13.9	-	0.72	3.32E-01
response to chemical (GO:0042221)	348	7	9.73	-	0.72	5.07E-01
intracellular transport (GO:0046907)	449	9	12.55	-	0.72	3.81E-01
cellular biosynthetic process (GO:0044249)	1249	25	34.92	-	0.72	8.51E-02
regulation of phosphorus metabolic process (GO:0051174)	200	4	5.59	-	0.72	6.65E-01
regulation of phosphate metabolic process (GO:0019220)	200	4	5.59	-	0.72	6.65E-01
positive regulation of cellular component organization (GO:0051130)	100	2	2.8	-	0.72	1.00E+00
inorganic ion homeostasis (GO:0098771)	100	2	2.8	-	0.72	1.00E+00
regulation of microtubule-based process (GO:0032886)	50	1	1.4	-	0.72	1.00E+00
regulation of response to external stimulus (GO:0032101)	50	1	1.4	-	0.72	1.00E+00
positive regulation of response to stimulus (GO:0048584)	251	5	7.02	-	0.71	5.62E-01
amide metabolic process (GO:0043603)	251	5	7.02	-	0.71	5.62E-01
positive regulation of nitrogen compound metabolic process (GO:0051173)	453	9	12.67	-	0.71	3.82E-01
regulation of programmed cell death (GO:0043067)	101	2	2.82	-	0.71	1.00E+00
macromolecule metabolic process (GO:0043170)	2129	42	59.53	-	0.71	1.15E-02
regulation of response to stimulus (GO:0048583)	559	11	15.63	-	0.7	2.92E-01
regulation of cell cycle (GO:0051726)	153	3	4.28	-	0.7	8.03E-01
regulation of protein serine/threonine kinase activity (GO:0071900)	51	1	1.43	-	0.7	1.00E+00
regulation of nervous system development (GO:0051960)	51	1	1.43	-	0.7	1.00E+00
regulation of cell motility (GO:2000145)	102	2	2.85	-	0.7	1.00E+00
carboxylic acid transport (GO:0046942)	102	2	2.85	-	0.7	1.00E+00
regulation of locomotion (GO:0040012)	102	2	2.85	-	0.7	1.00E+00
organic acid transport (GO:0015849)	102	2	2.85	-	0.7	1.00E+00
primary metabolic process (GO:0044238)	2661	52	74.4	-	0.7	2.85E-03
catabolic process (GO:0009056)	618	12	17.28	-	0.69	2.11E-01
positive regulation of organelle organization (GO:0010638)	52	1	1.45	-	0.69	1.00E+00
positive regulation of GTPase activity (GO:0043547)	52	1	1.45	-	0.69	1.00E+00
L-amino acid metabolic process (GO:0170033)	52	1	1.45	-	0.69	1.00E+00
non-membrane-bounded organelle assembly (GO:0140694)	104	2	2.91	-	0.69	1.00E+00
establishment or maintenance of cell polarity (GO:0007163)	52	1	1.45	-	0.69	1.00E+00
cellular response to organonitrogen compound (GO:0071417)	52	1	1.45	-	0.69	1.00E+00
DNA metabolic process (GO:0006259)	261	5	7.3	-	0.69	5.66E-01
positive regulation of macromolecule metabolic process (GO:0010604)	474	9	13.25	-	0.68	2.58E-01
small molecule metabolic process (GO:0044281)	422	8	11.8	-	0.68	2.95E-01
regulation of cell population proliferation (GO:0042127)	106	2	2.96	-	0.67	1.00E+00
transport along microtubule (GO:0010970)	53	1	1.48	-	0.67	1.00E+00
regulation of translation (GO:0006417)	53	1	1.48	-	0.67	1.00E+00
regulation of mRNA stability (GO:0043488)	53	1	1.48	-	0.67	1.00E+00
membrane fusion (GO:0061025)	53	1	1.48	-	0.67	1.00E+00
"mRNA splicing, via spliceosome (GO:0000398)"	106	2	2.96	-	0.67	1.00E+00
"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)"	106	2	2.96	-	0.67	1.00E+00
"RNA splicing, via transesterification reactions (GO:0000375)"	106	2	2.96	-	0.67	1.00E+00
microtubule-based movement (GO:0007018)	106	2	2.96	-	0.67	1.00E+00
nitrogen compound metabolic process (GO:0006807)	2441	46	68.25	-	0.67	2.05E-03
response to organic substance (GO:0010033)	267	5	7.47	-	0.67	4.54E-01
regulation of immune system process (GO:0002682)	107	2	2.99	-	0.67	7.72E-01
macromolecule biosynthetic process (GO:0009059)	964	18	26.95	-	0.67	6.77E-02
negative regulation of signal transduction (GO:0009968)	162	3	4.53	-	0.66	6.32E-01
carbohydrate derivative biosynthetic process (GO:1901137)	216	4	6.04	-	0.66	5.32E-01
regulation of RNA stability (GO:0043487)	54	1	1.51	-	0.66	1.00E+00
organic substance catabolic process (GO:1901575)	542	10	15.15	-	0.66	2.28E-01
regulation of cell cycle process (GO:0010564)	109	2	3.05	-	0.66	7.72E-01
organonitrogen compound biosynthetic process (GO:1901566)	492	9	13.76	-	0.65	2.10E-01
microtubule-based transport (GO:0099111)	55	1	1.54	-	0.65	1.00E+00
amino acid metabolic process (GO:0006520)	110	2	3.08	-	0.65	7.72E-01
negative regulation of cell communication (GO:0010648)	168	3	4.7	-	0.64	6.34E-01
negative regulation of signaling (GO:0023057)	168	3	4.7	-	0.64	6.34E-01
lipoprotein biosynthetic process (GO:0042158)	56	1	1.57	-	0.64	1.00E+00
regulation of amide metabolic process (GO:0034248)	56	1	1.57	-	0.64	1.00E+00
post-transcriptional regulation of gene expression (GO:0010608)	112	2	3.13	-	0.64	7.73E-01
organelle disassembly (GO:1903008)	56	1	1.57	-	0.64	1.00E+00
regulation of metal ion transport (GO:0010959)	56	1	1.57	-	0.64	1.00E+00
protein deubiquitination (GO:0016579)	56	1	1.57	-	0.64	1.00E+00
protein lipidation (GO:0006497)	56	1	1.57	-	0.64	1.00E+00
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	112	2	3.13	-	0.64	7.73E-01
regulation of mRNA catabolic process (GO:0061013)	56	1	1.57	-	0.64	1.00E+00
cytokine-mediated signaling pathway (GO:0019221)	57	1	1.59	-	0.63	1.00E+00
tRNA processing (GO:0008033)	57	1	1.59	-	0.63	1.00E+00
protein-containing complex organization (GO:0043933)	344	6	9.62	-	0.62	3.17E-01
macromolecule catabolic process (GO:0009057)	345	6	9.65	-	0.62	3.17E-01
actin cytoskeleton organization (GO:0030036)	231	4	6.46	-	0.62	4.21E-01
negative regulation of nitrogen compound metabolic process (GO:0051172)	289	5	8.08	-	0.62	3.64E-01
sphingolipid metabolic process (GO:0006665)	58	1	1.62	-	0.62	1.00E+00
protein ubiquitination (GO:0016567)	175	3	4.89	-	0.61	6.39E-01
gene expression (GO:0010467)	764	13	21.36	-	0.61	6.87E-02
organelle fusion (GO:0048284)	59	1	1.65	-	0.61	1.00E+00
defense response (GO:0006952)	59	1	1.65	-	0.61	1.00E+00
RNA splicing (GO:0008380)	119	2	3.33	-	0.6	7.76E-01
actin filament-based process (GO:0030029)	239	4	6.68	-	0.6	4.24E-01
amino acid transport (GO:0006865)	60	1	1.68	-	0.6	1.00E+00
ribonucleoprotein complex biogenesis (GO:0022613)	181	3	5.06	-	0.59	4.94E-01
establishment of protein localization to organelle (GO:0072594)	122	2	3.41	-	0.59	7.78E-01
endoplasmic reticulum to Golgi vesicle-mediated transport (GO:0006888)	61	1	1.71	-	0.59	1.00E+00
cellular response to cytokine stimulus (GO:0071345)	61	1	1.71	-	0.59	1.00E+00
response to nitrogen compound (GO:1901698)	123	2	3.44	-	0.58	5.88E-01
protein metabolic process (GO:0019538)	1362	22	38.08	-	0.58	3.95E-03
nucleoside phosphate metabolic process (GO:0006753)	124	2	3.47	-	0.58	5.88E-01
regulation of RNA splicing (GO:0043484)	62	1	1.73	-	0.58	1.00E+00
regulation of monoatomic ion transmembrane transport (GO:0034765)	62	1	1.73	-	0.58	1.00E+00
nervous system process (GO:0050877)	62	1	1.73	-	0.58	1.00E+00
cellular response to chemical stimulus (GO:0070887)	250	4	6.99	-	0.57	3.31E-01
nitrogen compound transport (GO:0071705)	376	6	10.51	-	0.57	2.01E-01
lipoprotein metabolic process (GO:0042157)	63	1	1.76	-	0.57	1.00E+00
membrane lipid biosynthetic process (GO:0046467)	63	1	1.76	-	0.57	1.00E+00
nucleoside phosphate biosynthetic process (GO:1901293)	63	1	1.76	-	0.57	1.00E+00
organonitrogen compound metabolic process (GO:1901564)	1712	27	47.87	-	0.56	6.58E-04
cellular lipid catabolic process (GO:0044242)	64	1	1.79	-	0.56	1.00E+00
protein localization to organelle (GO:0033365)	192	3	5.37	-	0.56	3.81E-01
mRNA processing (GO:0006397)	128	2	3.58	-	0.56	5.89E-01
response to endoplasmic reticulum stress (GO:0034976)	64	1	1.79	-	0.56	1.00E+00
protein modification by small protein removal (GO:0070646)	65	1	1.82	-	0.55	1.00E+00
regulation of immune response (GO:0050776)	65	1	1.82	-	0.55	1.00E+00
ribosome biogenesis (GO:0042254)	132	2	3.69	-	0.54	5.91E-01
organonitrogen compound catabolic process (GO:1901565)	399	6	11.16	-	0.54	1.23E-01
regulation of protein phosphorylation (GO:0001932)	134	2	3.75	-	0.53	5.93E-01
proteolysis involved in protein catabolic process (GO:0051603)	269	4	7.52	-	0.53	2.58E-01
protein modification by small protein conjugation or removal (GO:0070647)	269	4	7.52	-	0.53	2.58E-01
protein modification by small protein conjugation (GO:0032446)	204	3	5.7	-	0.53	3.86E-01
ubiquitin-dependent protein catabolic process (GO:0006511)	208	3	5.82	-	0.52	2.92E-01
protein catabolic process (GO:0030163)	280	4	7.83	-	0.51	1.98E-01
import across plasma membrane (GO:0098739)	70	1	1.96	-	0.51	1.00E+00
positive regulation of cell population proliferation (GO:0008284)	70	1	1.96	-	0.51	1.00E+00
response to cytokine (GO:0034097)	70	1	1.96	-	0.51	1.00E+00
modification-dependent protein catabolic process (GO:0019941)	215	3	6.01	-	0.5	2.93E-01
regulation of monoatomic ion transport (GO:0043269)	72	1	2.01	-	0.5	7.25E-01
positive regulation of hydrolase activity (GO:0051345)	72	1	2.01	-	0.5	7.25E-01
regulation of response to stress (GO:0080134)	72	1	2.01	-	0.5	7.25E-01
DNA replication (GO:0006260)	72	1	2.01	-	0.5	7.25E-01
modification-dependent macromolecule catabolic process (GO:0043632)	219	3	6.12	-	0.49	2.96E-01
purine ribonucleotide metabolic process (GO:0009150)	73	1	2.04	-	0.49	7.25E-01
regulation of transmembrane transport (GO:0034762)	73	1	2.04	-	0.49	7.25E-01
positive regulation of gene expression (GO:0010628)	75	1	2.1	-	0.48	7.26E-01
protein polyubiquitination (GO:0000209)	76	1	2.13	-	0.47	7.26E-01
positive regulation of protein phosphorylation (GO:0001934)	76	1	2.13	-	0.47	7.26E-01
carboxylic acid catabolic process (GO:0046395)	76	1	2.13	-	0.47	7.26E-01
organic acid catabolic process (GO:0016054)	76	1	2.13	-	0.47	7.26E-01
nucleobase-containing small molecule metabolic process (GO:0055086)	153	2	4.28	-	0.47	4.52E-01
regulation of protein modification process (GO:0031399)	155	2	4.33	-	0.46	3.31E-01
cellular response to nitrogen compound (GO:1901699)	78	1	2.18	-	0.46	7.27E-01
RNA modification (GO:0009451)	79	1	2.21	-	0.45	7.28E-01
ncRNA metabolic process (GO:0034660)	238	3	6.65	-	0.45	2.27E-01
membrane lipid metabolic process (GO:0006643)	80	1	2.24	-	0.45	7.29E-01
alpha-amino acid metabolic process (GO:1901605)	80	1	2.24	-	0.45	7.29E-01
ribonucleotide metabolic process (GO:0009259)	80	1	2.24	-	0.45	7.29E-01
central nervous system development (GO:0007417)	81	1	2.26	-	0.44	7.30E-01
positive regulation of protein modification process (GO:0031401)	81	1	2.26	-	0.44	7.30E-01
lipid transport (GO:0006869)	84	1	2.35	-	0.43	7.33E-01
RNA processing (GO:0006396)	338	4	9.45	-	0.42	6.61E-02
response to growth factor (GO:0070848)	85	1	2.38	-	0.42	7.34E-01
regulation of protein kinase activity (GO:0045859)	85	1	2.38	-	0.42	7.34E-01
cellular response to growth factor stimulus (GO:0071363)	85	1	2.38	-	0.42	7.34E-01
carbohydrate metabolic process (GO:0005975)	86	1	2.4	-	0.42	7.35E-01
ribose phosphate metabolic process (GO:0019693)	86	1	2.4	-	0.42	7.35E-01
lipid localization (GO:0010876)	87	1	2.43	-	0.41	5.22E-01
negative regulation of molecular function (GO:0044092)	89	1	2.49	-	0.4	5.22E-01
rRNA processing (GO:0006364)	91	1	2.54	-	0.39	5.23E-01
DNA repair (GO:0006281)	182	2	5.09	-	0.39	2.51E-01
cellular response to stress (GO:0033554)	365	4	10.21	-	0.39	5.06E-02
regulation of mRNA metabolic process (GO:1903311)	92	1	2.57	-	0.39	5.24E-01
small molecule catabolic process (GO:0044282)	93	1	2.6	-	0.38	5.24E-01
ncRNA processing (GO:0034470)	189	2	5.28	-	0.38	1.81E-01
response to stress (GO:0006950)	479	5	13.39	-	0.37	1.52E-02
cellular response to oxygen-containing compound (GO:1901701)	97	1	2.71	-	0.37	5.28E-01
regulation of apoptotic process (GO:0042981)	97	1	2.71	-	0.37	5.28E-01
regulation of protein metabolic process (GO:0051246)	295	3	8.25	-	0.36	7.06E-02
protein-containing complex assembly (GO:0065003)	198	2	5.54	-	0.36	1.86E-01
purine nucleotide metabolic process (GO:0006163)	100	1	2.8	-	0.36	5.33E-01
proteolysis (GO:0006508)	407	4	11.38	-	0.35	2.05E-02
rRNA metabolic process (GO:0016072)	105	1	2.94	-	0.34	3.74E-01
endosomal transport (GO:0016197)	108	1	3.02	-	0.33	3.76E-01
purine-containing compound metabolic process (GO:0072521)	111	1	3.1	-	0.32	3.78E-01
DNA damage response (GO:0006974)	225	2	6.29	-	0.32	9.83E-02
nucleotide metabolic process (GO:0009117)	116	1	3.24	-	0.31	3.85E-01
endomembrane system organization (GO:0010256)	118	1	3.3	-	0.3	2.67E-01
immune system process (GO:0002376)	119	1	3.33	-	0.3	2.67E-01
response to oxygen-containing compound (GO:1901700)	120	1	3.36	-	0.3	2.67E-01
positive regulation of protein metabolic process (GO:0051247)	148	1	4.14	-	0.24	1.34E-01
carboxylic acid metabolic process (GO:0019752)	216	1	6.04	-	0.17	3.36E-02
organic acid metabolic process (GO:0006082)	218	1	6.1	-	0.16	3.41E-02
oxoacid metabolic process (GO:0043436)	218	1	6.1	-	0.16	3.41E-02
adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002460)	2	0	0.06	-	 < 0.01	1.00E+00
ribonucleoside triphosphate metabolic process (GO:0009199)	25	0	0.7	-	 < 0.01	1.00E+00
mononuclear cell migration (GO:0071674)	4	0	0.11	-	 < 0.01	1.00E+00
intermediate filament organization (GO:0045109)	10	0	0.28	-	 < 0.01	1.00E+00
tissue morphogenesis (GO:0048729)	24	0	0.67	-	 < 0.01	1.00E+00
intermediate filament cytoskeleton organization (GO:0045104)	15	0	0.42	-	 < 0.01	1.00E+00
intermediate filament-based process (GO:0045103)	15	0	0.42	-	 < 0.01	1.00E+00
vitamin transport (GO:0051180)	12	0	0.34	-	 < 0.01	1.00E+00
TOR signaling (GO:0031929)	10	0	0.28	-	 < 0.01	1.00E+00
protein localization to mitochondrion (GO:0070585)	21	0	0.59	-	 < 0.01	1.00E+00
mitotic cytokinesis (GO:0000281)	15	0	0.42	-	 < 0.01	1.00E+00
negative regulation of actin filament polymerization (GO:0030837)	23	0	0.64	-	 < 0.01	1.00E+00
sperm-egg recognition (GO:0035036)	2	0	0.06	-	 < 0.01	1.00E+00
negative regulation of actin filament depolymerization (GO:0030835)	18	0	0.5	-	 < 0.01	1.00E+00
regulation of actin filament depolymerization (GO:0030834)	20	0	0.56	-	 < 0.01	1.00E+00
meiotic sister chromatid cohesion (GO:0051177)	2	0	0.06	-	 < 0.01	1.00E+00
cyclic nucleotide metabolic process (GO:0009187)	9	0	0.25	-	 < 0.01	1.00E+00
regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043281)	18	0	0.5	-	 < 0.01	1.00E+00
positive regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043280)	15	0	0.42	-	 < 0.01	1.00E+00
supramolecular fiber organization (GO:0097435)	218	0	6.1	-	 < 0.01	3.18E-03
positive regulation of proteasomal protein catabolic process (GO:1901800)	19	0	0.53	-	 < 0.01	1.00E+00
polysaccharide biosynthetic process (GO:0000271)	9	0	0.25	-	 < 0.01	1.00E+00
lymphocyte mediated immunity (GO:0002449)	2	0	0.06	-	 < 0.01	1.00E+00
leukocyte mediated immunity (GO:0002443)	2	0	0.06	-	 < 0.01	1.00E+00
apoptotic cell clearance (GO:0043277)	5	0	0.14	-	 < 0.01	1.00E+00
nuclear export (GO:0051168)	54	0	1.51	-	 < 0.01	4.07E-01
oligodendrocyte differentiation (GO:0048709)	5	0	0.14	-	 < 0.01	1.00E+00
regulation of lipid biosynthetic process (GO:0046890)	7	0	0.2	-	 < 0.01	1.00E+00
neutrophil migration (GO:1990266)	3	0	0.08	-	 < 0.01	1.00E+00
fat cell differentiation (GO:0045444)	2	0	0.06	-	 < 0.01	1.00E+00
regulation of establishment of protein localization (GO:0070201)	15	0	0.42	-	 < 0.01	1.00E+00
positive regulation of hormone secretion (GO:0046887)	2	0	0.06	-	 < 0.01	1.00E+00
regulation of potassium ion transport (GO:0043266)	17	0	0.48	-	 < 0.01	1.00E+00
membrane invagination (GO:0010324)	12	0	0.34	-	 < 0.01	1.00E+00
regulation of peptide secretion (GO:0002791)	6	0	0.17	-	 < 0.01	1.00E+00
peptide secretion (GO:0002790)	3	0	0.08	-	 < 0.01	1.00E+00
regulation of hormone secretion (GO:0046883)	8	0	0.22	-	 < 0.01	1.00E+00
nucleotide catabolic process (GO:0009166)	27	0	0.75	-	 < 0.01	1.00E+00
nucleotide biosynthetic process (GO:0009165)	61	0	1.71	-	 < 0.01	4.19E-01
nucleoside catabolic process (GO:0009164)	8	0	0.22	-	 < 0.01	1.00E+00
negative regulation of protein catabolic process (GO:0042177)	11	0	0.31	-	 < 0.01	1.00E+00
regulation of protein catabolic process (GO:0042176)	45	0	1.26	-	 < 0.01	6.38E-01
response to interleukin-1 (GO:0070555)	2	0	0.06	-	 < 0.01	1.00E+00
immune response-activating cell surface receptor signaling pathway (GO:0002429)	32	0	0.89	-	 < 0.01	1.00E+00
actin filament bundle organization (GO:0061572)	22	0	0.62	-	 < 0.01	1.00E+00
hormone secretion (GO:0046879)	3	0	0.08	-	 < 0.01	1.00E+00
striated muscle cell differentiation (GO:0051146)	35	0	0.98	-	 < 0.01	6.26E-01
purine ribonucleotide catabolic process (GO:0009154)	19	0	0.53	-	 < 0.01	1.00E+00
purine ribonucleotide biosynthetic process (GO:0009152)	33	0	0.92	-	 < 0.01	1.00E+00
heme metabolic process (GO:0042168)	10	0	0.28	-	 < 0.01	1.00E+00
positive regulation of cell cycle (GO:0045787)	27	0	0.75	-	 < 0.01	1.00E+00
response to fatty acid (GO:0070542)	1	0	0.03	-	 < 0.01	1.00E+00
spliceosomal complex assembly (GO:0000245)	19	0	0.53	-	 < 0.01	1.00E+00
regulation of lipid metabolic process (GO:0019216)	13	0	0.36	-	 < 0.01	1.00E+00
respiratory electron transport chain (GO:0022904)	13	0	0.36	-	 < 0.01	1.00E+00
protein hydroxylation (GO:0018126)	14	0	0.39	-	 < 0.01	1.00E+00
electron transport chain (GO:0022900)	16	0	0.45	-	 < 0.01	1.00E+00
regulation of protein-containing complex disassembly (GO:0043244)	38	0	1.06	-	 < 0.01	6.27E-01
negative regulation of protein-containing complex disassembly (GO:0043242)	27	0	0.75	-	 < 0.01	1.00E+00
multivesicular body sorting pathway (GO:0071985)	26	0	0.73	-	 < 0.01	1.00E+00
purine nucleoside triphosphate biosynthetic process (GO:0009145)	2	0	0.06	-	 < 0.01	1.00E+00
purine nucleoside triphosphate metabolic process (GO:0009144)	22	0	0.62	-	 < 0.01	1.00E+00
chaperone-mediated protein complex assembly (GO:0051131)	4	0	0.11	-	 < 0.01	1.00E+00
negative regulation of blood pressure (GO:0045776)	6	0	0.17	-	 < 0.01	1.00E+00
protein K63-linked deubiquitination (GO:0070536)	7	0	0.2	-	 < 0.01	1.00E+00
protein K63-linked ubiquitination (GO:0070534)	5	0	0.14	-	 < 0.01	1.00E+00
mitochondrial fusion (GO:0008053)	9	0	0.25	-	 < 0.01	1.00E+00
immune response-regulating cell surface receptor signaling pathway (GO:0002768)	34	0	0.95	-	 < 0.01	1.00E+00
negative regulation of NF-kappaB transcription factor activity (GO:0032088)	6	0	0.17	-	 < 0.01	1.00E+00
immune response-regulating signaling pathway (GO:0002764)	40	0	1.12	-	 < 0.01	6.29E-01
phosphatidylinositol dephosphorylation (GO:0046856)	27	0	0.75	-	 < 0.01	1.00E+00
intracellular glucose homeostasis (GO:0001678)	6	0	0.17	-	 < 0.01	1.00E+00
regulation of bone remodeling (GO:0046850)	4	0	0.11	-	 < 0.01	1.00E+00
nucleoside diphosphate catabolic process (GO:0009134)	23	0	0.64	-	 < 0.01	1.00E+00
RNA polymerase II preinitiation complex assembly (GO:0051123)	6	0	0.17	-	 < 0.01	1.00E+00
long-chain fatty acid metabolic process (GO:0001676)	11	0	0.31	-	 < 0.01	1.00E+00
nucleoside diphosphate metabolic process (GO:0009132)	26	0	0.73	-	 < 0.01	1.00E+00
"retrograde transport, endosome to Golgi (GO:0042147)"	34	0	0.95	-	 < 0.01	1.00E+00
platelet aggregation (GO:0070527)	5	0	0.14	-	 < 0.01	1.00E+00
"vacuole fusion, non-autophagic (GO:0042144)"	1	0	0.03	-	 < 0.01	1.00E+00
tRNA threonylcarbamoyladenosine metabolic process (GO:0070525)	1	0	0.03	-	 < 0.01	1.00E+00
motor neuron axon guidance (GO:0008045)	6	0	0.17	-	 < 0.01	1.00E+00
positive regulation of proteolysis involved in protein catabolic process (GO:1903052)	19	0	0.53	-	 < 0.01	1.00E+00
negative regulation of proteolysis involved in protein catabolic process (GO:1903051)	5	0	0.14	-	 < 0.01	1.00E+00
regulation of proteolysis involved in protein catabolic process (GO:1903050)	33	0	0.92	-	 < 0.01	1.00E+00
innate immune response-activating signaling pathway (GO:0002758)	12	0	0.34	-	 < 0.01	1.00E+00
immune response-activating signaling pathway (GO:0002757)	38	0	1.06	-	 < 0.01	6.27E-01
peptidyl-tyrosine phosphorylation (GO:0018108)	6	0	0.17	-	 < 0.01	1.00E+00
peptidyl-threonine phosphorylation (GO:0018107)	17	0	0.48	-	 < 0.01	1.00E+00
peptidyl-tyrosine dephosphorylation (GO:0035335)	15	0	0.42	-	 < 0.01	1.00E+00
cytoplasmic pattern recognition receptor signaling pathway (GO:0002753)	4	0	0.11	-	 < 0.01	1.00E+00
skin development (GO:0043588)	3	0	0.08	-	 < 0.01	1.00E+00
ear development (GO:0043583)	2	0	0.06	-	 < 0.01	1.00E+00
response to hypoxia (GO:0001666)	16	0	0.45	-	 < 0.01	1.00E+00
meiotic DNA double-strand break formation (GO:0042138)	3	0	0.08	-	 < 0.01	1.00E+00
regulation of transforming growth factor beta receptor signaling pathway (GO:0017015)	8	0	0.22	-	 < 0.01	1.00E+00
