PANTHER GO-Slim Biological Process	background_genelist.full.txt - REFLIST (12732)	pyrr.fst.50000kb.genenames_filtered.txt (357)	pyrr.fst.50000kb.genenames_filtered.txt (expected)	pyrr.fst.50000kb.genenames_filtered.txt (over/under)	pyrr.fst.50000kb.genenames_filtered.txt (fold Enrichment)	P-value
regulation of response to stimulus (GO:0048583)	559	14	15.67	-	0.89	7.93E-01
vasculature development (GO:0001944)	40	1	1.12	-	0.89	1.00E+00
autophagy of mitochondrion (GO:0000422)	40	1	1.12	-	0.89	1.00E+00
glycolipid metabolic process (GO:0006664)	40	1	1.12	-	0.89	1.00E+00
alpha-amino acid metabolic process (GO:1901605)	80	2	2.24	-	0.89	1.00E+00
regulation of macromolecule biosynthetic process (GO:0010556)	1530	38	42.9	-	0.89	4.58E-01
aromatic compound catabolic process (GO:0019439)	121	3	3.39	-	0.88	1.00E+00
regulation of cellular biosynthetic process (GO:0031326)	1538	38	43.12	-	0.88	4.58E-01
negative regulation of signal transduction (GO:0009968)	162	4	4.54	-	0.88	1.00E+00
regulation of biosynthetic process (GO:0009889)	1543	38	43.27	-	0.88	4.59E-01
proteolysis (GO:0006508)	407	10	11.41	-	0.88	8.78E-01
response to stimulus (GO:0050896)	1672	41	46.88	-	0.87	3.82E-01
RNA transport (GO:0050658)	41	1	1.15	-	0.87	1.00E+00
nucleic acid transport (GO:0050657)	41	1	1.15	-	0.87	1.00E+00
tRNA modification (GO:0006400)	41	1	1.15	-	0.87	1.00E+00
tube morphogenesis (GO:0035239)	41	1	1.15	-	0.87	1.00E+00
liposaccharide metabolic process (GO:1903509)	41	1	1.15	-	0.87	1.00E+00
ceramide metabolic process (GO:0006672)	41	1	1.15	-	0.87	1.00E+00
establishment of RNA localization (GO:0051236)	41	1	1.15	-	0.87	1.00E+00
sexual reproduction (GO:0019953)	82	2	2.3	-	0.87	1.00E+00
neurotransmitter transport (GO:0006836)	41	1	1.15	-	0.87	1.00E+00
glycerophospholipid metabolic process (GO:0006650)	124	3	3.48	-	0.86	1.00E+00
organic substance transport (GO:0071702)	497	12	13.94	-	0.86	6.79E-01
positive regulation of catalytic activity (GO:0043085)	167	4	4.68	-	0.85	1.00E+00
negative regulation of cellular metabolic process (GO:0031324)	377	9	10.57	-	0.85	7.52E-01
negative regulation of cell communication (GO:0010648)	168	4	4.71	-	0.85	1.00E+00
negative regulation of signaling (GO:0023057)	168	4	4.71	-	0.85	1.00E+00
regulation of DNA-templated transcription (GO:0006355)	1176	28	32.97	-	0.85	4.04E-01
positive regulation of proteolysis (GO:0045862)	42	1	1.18	-	0.85	1.00E+00
plasma membrane bounded cell projection assembly (GO:0120031)	126	3	3.53	-	0.85	1.00E+00
regulation of mitotic cell cycle (GO:0007346)	84	2	2.36	-	0.85	1.00E+00
regulation of RNA biosynthetic process (GO:2001141)	1176	28	32.97	-	0.85	4.04E-01
organic cyclic compound catabolic process (GO:1901361)	127	3	3.56	-	0.84	1.00E+00
nuclear transport (GO:0051169)	85	2	2.38	-	0.84	1.00E+00
nucleocytoplasmic transport (GO:0006913)	85	2	2.38	-	0.84	1.00E+00
regulation of protein kinase activity (GO:0045859)	85	2	2.38	-	0.84	1.00E+00
regulation of signal transduction (GO:0009966)	469	11	13.15	-	0.84	6.68E-01
regulation of intracellular signal transduction (GO:1902531)	257	6	7.21	-	0.83	8.48E-01
regulation of endopeptidase activity (GO:0052548)	43	1	1.21	-	0.83	1.00E+00
signal release (GO:0023061)	43	1	1.21	-	0.83	1.00E+00
tube development (GO:0035295)	43	1	1.21	-	0.83	1.00E+00
organelle organization (GO:0006996)	1042	24	29.22	-	0.82	3.77E-01
animal organ development (GO:0048513)	304	7	8.52	-	0.82	7.26E-01
protein ubiquitination (GO:0016567)	175	4	4.91	-	0.82	1.00E+00
negative regulation of macromolecule metabolic process (GO:0010605)	394	9	11.05	-	0.81	6.42E-01
cell surface receptor signaling pathway (GO:0007166)	483	11	13.54	-	0.81	5.74E-01
regulation of peptidase activity (GO:0052547)	44	1	1.23	-	0.81	1.00E+00
RNA localization (GO:0006403)	44	1	1.23	-	0.81	1.00E+00
regulation of transmembrane transporter activity (GO:0022898)	44	1	1.23	-	0.81	1.00E+00
regulation of actin cytoskeleton organization (GO:0032956)	88	2	2.47	-	0.81	1.00E+00
skeletal system development (GO:0001501)	44	1	1.23	-	0.81	1.00E+00
reproductive process (GO:0022414)	88	2	2.47	-	0.81	1.00E+00
reproduction (GO:0000003)	88	2	2.47	-	0.81	1.00E+00
regulation of monoatomic ion transmembrane transporter activity (GO:0032412)	44	1	1.23	-	0.81	1.00E+00
cilium organization (GO:0044782)	133	3	3.73	-	0.8	1.00E+00
regulation of actin filament-based process (GO:0032970)	89	2	2.5	-	0.8	1.00E+00
DNA-templated transcription (GO:0006351)	89	2	2.5	-	0.8	1.00E+00
chemical homeostasis (GO:0048878)	178	4	4.99	-	0.8	8.21E-01
negative regulation of molecular function (GO:0044092)	89	2	2.5	-	0.8	1.00E+00
regulation of actin filament polymerization (GO:0030833)	45	1	1.26	-	0.79	1.00E+00
microtubule cytoskeleton organization (GO:0000226)	180	4	5.05	-	0.79	8.21E-01
response to external biotic stimulus (GO:0043207)	45	1	1.26	-	0.79	1.00E+00
response to other organism (GO:0051707)	45	1	1.26	-	0.79	1.00E+00
negative regulation of protein metabolic process (GO:0051248)	90	2	2.52	-	0.79	1.00E+00
mitochondrial transport (GO:0006839)	45	1	1.26	-	0.79	1.00E+00
regulation of kinase activity (GO:0043549)	135	3	3.79	-	0.79	1.00E+00
negative regulation of metabolic process (GO:0009892)	406	9	11.38	-	0.79	6.45E-01
cell cycle (GO:0007049)	271	6	7.6	-	0.79	7.10E-01
protein metabolic process (GO:0019538)	1362	30	38.19	-	0.79	1.65E-01
enzyme-linked receptor protein signaling pathway (GO:0007167)	227	5	6.36	-	0.79	8.38E-01
RNA biosynthetic process (GO:0032774)	91	2	2.55	-	0.78	1.00E+00
regulation of transcription by RNA polymerase II (GO:0006357)	1002	22	28.1	-	0.78	2.72E-01
cell projection assembly (GO:0030031)	137	3	3.84	-	0.78	1.00E+00
regulation of actin polymerization or depolymerization (GO:0008064)	46	1	1.29	-	0.78	1.00E+00
meiotic cell cycle process (GO:1903046)	46	1	1.29	-	0.78	1.00E+00
regulation of neuron projection development (GO:0010975)	46	1	1.29	-	0.78	1.00E+00
protein glycosylation (GO:0006486)	92	2	2.58	-	0.78	1.00E+00
organophosphate catabolic process (GO:0046434)	46	1	1.29	-	0.78	1.00E+00
macromolecule glycosylation (GO:0043413)	92	2	2.58	-	0.78	1.00E+00
regulation of cellular response to growth factor stimulus (GO:0090287)	46	1	1.29	-	0.78	1.00E+00
response to biotic stimulus (GO:0009607)	46	1	1.29	-	0.78	1.00E+00
vesicle fusion (GO:0006906)	46	1	1.29	-	0.78	1.00E+00
biological process involved in interspecies interaction between organisms (GO:0044419)	46	1	1.29	-	0.78	1.00E+00
regulation of transporter activity (GO:0032409)	46	1	1.29	-	0.78	1.00E+00
positive regulation of cellular component biogenesis (GO:0044089)	46	1	1.29	-	0.78	1.00E+00
regulation of transferase activity (GO:0051338)	138	3	3.87	-	0.78	1.00E+00
regulation of catabolic process (GO:0009894)	139	3	3.9	-	0.77	1.00E+00
carbohydrate derivative metabolic process (GO:1901135)	325	7	9.11	-	0.77	6.09E-01
small molecule catabolic process (GO:0044282)	93	2	2.61	-	0.77	1.00E+00
mitotic cell cycle process (GO:1903047)	140	3	3.93	-	0.76	1.00E+00
glycerolipid metabolic process (GO:0046486)	141	3	3.95	-	0.76	1.00E+00
regulation of small GTPase mediated signal transduction (GO:0051056)	47	1	1.32	-	0.76	1.00E+00
regulation of cellular localization (GO:0060341)	47	1	1.32	-	0.76	1.00E+00
organelle membrane fusion (GO:0090174)	47	1	1.32	-	0.76	1.00E+00
regulation of actin filament length (GO:0030832)	48	1	1.35	-	0.74	1.00E+00
chemical synaptic transmission (GO:0007268)	144	3	4.04	-	0.74	8.01E-01
cell-substrate adhesion (GO:0031589)	48	1	1.35	-	0.74	1.00E+00
regulation of monoatomic cation transmembrane transport (GO:1904062)	48	1	1.35	-	0.74	1.00E+00
adenylate cyclase-modulating G protein-coupled receptor signaling pathway (GO:0007188)	96	2	2.69	-	0.74	1.00E+00
negative regulation of cell cycle phase transition (GO:1901988)	48	1	1.35	-	0.74	1.00E+00
autophagosome assembly (GO:0000045)	48	1	1.35	-	0.74	1.00E+00
spindle organization (GO:0007051)	48	1	1.35	-	0.74	1.00E+00
anterograde trans-synaptic signaling (GO:0098916)	144	3	4.04	-	0.74	8.01E-01
dephosphorylation (GO:0016311)	96	2	2.69	-	0.74	1.00E+00
organophosphate metabolic process (GO:0019637)	293	6	8.22	-	0.73	5.89E-01
trans-synaptic signaling (GO:0099537)	147	3	4.12	-	0.73	8.01E-01
double-strand break repair (GO:0006302)	98	2	2.75	-	0.73	1.00E+00
regulation of cell migration (GO:0030334)	98	2	2.75	-	0.73	1.00E+00
cell cycle process (GO:0022402)	247	5	6.93	-	0.72	5.62E-01
protein-containing complex assembly (GO:0065003)	198	4	5.55	-	0.72	6.65E-01
positive regulation of cellular component organization (GO:0051130)	100	2	2.8	-	0.71	1.00E+00
protein dephosphorylation (GO:0006470)	50	1	1.4	-	0.71	1.00E+00
inorganic ion homeostasis (GO:0098771)	100	2	2.8	-	0.71	1.00E+00
regulation of response to external stimulus (GO:0032101)	50	1	1.4	-	0.71	1.00E+00
organonitrogen compound metabolic process (GO:1901564)	1712	34	48	-	0.71	2.73E-02
regulation of organelle organization (GO:0033043)	202	4	5.66	-	0.71	6.66E-01
regulation of cellular component organization (GO:0051128)	306	6	8.58	-	0.7	4.82E-01
regulation of protein polymerization (GO:0032271)	51	1	1.43	-	0.7	1.00E+00
regulation of nervous system development (GO:0051960)	51	1	1.43	-	0.7	1.00E+00
regulation of cell motility (GO:2000145)	102	2	2.86	-	0.7	1.00E+00
regulation of locomotion (GO:0040012)	102	2	2.86	-	0.7	1.00E+00
phospholipid metabolic process (GO:0006644)	155	3	4.35	-	0.69	8.04E-01
macromolecule metabolic process (GO:0043170)	2129	41	59.7	-	0.69	6.17E-03
positive regulation of organelle organization (GO:0010638)	52	1	1.46	-	0.69	1.00E+00
establishment or maintenance of cell polarity (GO:0007163)	52	1	1.46	-	0.69	1.00E+00
cellular modified amino acid metabolic process (GO:0006575)	52	1	1.46	-	0.69	1.00E+00
glycosylation (GO:0070085)	105	2	2.94	-	0.68	1.00E+00
regulation of translation (GO:0006417)	53	1	1.49	-	0.67	1.00E+00
membrane fusion (GO:0061025)	53	1	1.49	-	0.67	1.00E+00
nuclear export (GO:0051168)	54	1	1.51	-	0.66	1.00E+00
endosomal transport (GO:0016197)	108	2	3.03	-	0.66	7.72E-01
positive regulation of cell migration (GO:0030335)	54	1	1.51	-	0.66	1.00E+00
metabolic process (GO:0008152)	2921	54	81.9	-	0.66	2.60E-04
regulation of cell cycle process (GO:0010564)	109	2	3.06	-	0.65	7.72E-01
negative regulation of DNA-templated transcription (GO:0045892)	164	3	4.6	-	0.65	6.33E-01
negative regulation of RNA biosynthetic process (GO:1902679)	164	3	4.6	-	0.65	6.33E-01
regulation of cell development (GO:0060284)	55	1	1.54	-	0.65	1.00E+00
actomyosin structure organization (GO:0031032)	55	1	1.54	-	0.65	1.00E+00
amino acid metabolic process (GO:0006520)	110	2	3.08	-	0.65	7.72E-01
nitrogen compound metabolic process (GO:0006807)	2441	44	68.44	-	0.64	6.21E-04
cytoskeleton organization (GO:0007010)	447	8	12.53	-	0.64	2.41E-01
organic substance metabolic process (GO:0071704)	2796	50	78.4	-	0.64	1.59E-04
regulation of amide metabolic process (GO:0034248)	56	1	1.57	-	0.64	1.00E+00
post-transcriptional regulation of gene expression (GO:0010608)	112	2	3.14	-	0.64	7.73E-01
organelle disassembly (GO:1903008)	56	1	1.57	-	0.64	1.00E+00
regulation of metal ion transport (GO:0010959)	56	1	1.57	-	0.64	1.00E+00
protein deubiquitination (GO:0016579)	56	1	1.57	-	0.64	1.00E+00
regulation of mitotic cell cycle phase transition (GO:1901990)	56	1	1.57	-	0.64	1.00E+00
positive regulation of cell differentiation (GO:0045597)	56	1	1.57	-	0.64	1.00E+00
small molecule biosynthetic process (GO:0044283)	113	2	3.17	-	0.63	7.73E-01
primary metabolic process (GO:0044238)	2661	47	74.61	-	0.63	1.59E-04
regulation of protein-containing complex assembly (GO:0043254)	57	1	1.6	-	0.63	1.00E+00
tRNA processing (GO:0008033)	57	1	1.6	-	0.63	1.00E+00
phosphatidylinositol biosynthetic process (GO:0006661)	57	1	1.6	-	0.63	1.00E+00
positive regulation of cell motility (GO:2000147)	57	1	1.6	-	0.63	1.00E+00
apoptotic process (GO:0006915)	57	1	1.6	-	0.63	1.00E+00
positive regulation of locomotion (GO:0040017)	57	1	1.6	-	0.63	1.00E+00
protein localization to membrane (GO:0072657)	115	2	3.22	-	0.62	7.74E-01
cellular metabolic process (GO:0044237)	2255	39	63.23	-	0.62	4.17E-04
sphingolipid metabolic process (GO:0006665)	58	1	1.63	-	0.61	1.00E+00
cilium assembly (GO:0060271)	117	2	3.28	-	0.61	7.75E-01
regulation of Wnt signaling pathway (GO:0030111)	59	1	1.65	-	0.6	1.00E+00
organelle fusion (GO:0048284)	59	1	1.65	-	0.6	1.00E+00
defense response (GO:0006952)	59	1	1.65	-	0.6	1.00E+00
intracellular protein transport (GO:0006886)	178	3	4.99	-	0.6	4.94E-01
immune system process (GO:0002376)	119	2	3.34	-	0.6	7.76E-01
regulation of MAPK cascade (GO:0043408)	119	2	3.34	-	0.6	7.76E-01
negative regulation of intracellular signal transduction (GO:1902532)	60	1	1.68	-	0.59	1.00E+00
response to oxygen-containing compound (GO:1901700)	120	2	3.36	-	0.59	7.77E-01
protein transport (GO:0015031)	240	4	6.73	-	0.59	4.25E-01
immune response (GO:0006955)	60	1	1.68	-	0.59	1.00E+00
negative regulation of transcription by RNA polymerase II (GO:0000122)	121	2	3.39	-	0.59	7.78E-01
cellular response to stress (GO:0033554)	365	6	10.23	-	0.59	1.99E-01
endoplasmic reticulum to Golgi vesicle-mediated transport (GO:0006888)	61	1	1.71	-	0.58	1.00E+00
cell fate commitment (GO:0045165)	61	1	1.71	-	0.58	1.00E+00
programmed cell death (GO:0012501)	62	1	1.74	-	0.58	1.00E+00
nucleoside phosphate metabolic process (GO:0006753)	124	2	3.48	-	0.58	5.88E-01
cell death (GO:0008219)	62	1	1.74	-	0.58	1.00E+00
regulation of monoatomic ion transmembrane transport (GO:0034765)	62	1	1.74	-	0.58	1.00E+00
nervous system process (GO:0050877)	62	1	1.74	-	0.58	1.00E+00
regulation of cellular component size (GO:0032535)	62	1	1.74	-	0.58	1.00E+00
regulation of cytoskeleton organization (GO:0051493)	125	2	3.5	-	0.57	5.88E-01
amide metabolic process (GO:0043603)	251	4	7.04	-	0.57	3.31E-01
nucleobase-containing compound transport (GO:0015931)	63	1	1.77	-	0.57	1.00E+00
cellular lipid catabolic process (GO:0044242)	64	1	1.79	-	0.56	1.00E+00
mRNA processing (GO:0006397)	128	2	3.59	-	0.56	5.89E-01
regulation of actin filament organization (GO:0110053)	64	1	1.79	-	0.56	1.00E+00
response to endoplasmic reticulum stress (GO:0034976)	64	1	1.79	-	0.56	1.00E+00
regulation of immune response (GO:0050776)	65	1	1.82	-	0.55	1.00E+00
DNA-templated DNA replication (GO:0006261)	66	1	1.85	-	0.54	1.00E+00
actin filament organization (GO:0007015)	134	2	3.76	-	0.53	5.93E-01
lipid modification (GO:0030258)	67	1	1.88	-	0.53	1.00E+00
small GTPase-mediated signal transduction (GO:0007264)	68	1	1.91	-	0.52	1.00E+00
response to stress (GO:0006950)	479	7	13.43	-	0.52	8.79E-02
regulation of plasma membrane bounded cell projection organization (GO:0120035)	69	1	1.93	-	0.52	1.00E+00
positive regulation of intracellular signal transduction (GO:1902533)	139	2	3.9	-	0.51	4.43E-01
regulation of cell projection organization (GO:0031344)	70	1	1.96	-	0.51	1.00E+00
carbohydrate derivative biosynthetic process (GO:1901137)	216	3	6.06	-	0.5	2.94E-01
regulation of monoatomic ion transport (GO:0043269)	72	1	2.02	-	0.5	7.25E-01
lipid catabolic process (GO:0016042)	72	1	2.02	-	0.5	7.25E-01
DNA replication (GO:0006260)	72	1	2.02	-	0.5	7.25E-01
purine ribonucleotide metabolic process (GO:0009150)	73	1	2.05	-	0.49	7.25E-01
glycerophospholipid biosynthetic process (GO:0046474)	73	1	2.05	-	0.49	7.25E-01
regulation of transmembrane transport (GO:0034762)	73	1	2.05	-	0.49	7.25E-01
proteasomal protein catabolic process (GO:0010498)	148	2	4.15	-	0.48	4.47E-01
positive regulation of protein metabolic process (GO:0051247)	148	2	4.15	-	0.48	4.47E-01
positive regulation of immune system process (GO:0002684)	75	1	2.1	-	0.48	7.26E-01
DNA damage response (GO:0006974)	225	3	6.31	-	0.48	2.22E-01
nitrogen compound transport (GO:0071705)	376	5	10.54	-	0.47	8.09E-02
regulation of cell cycle (GO:0051726)	153	2	4.29	-	0.47	4.52E-01
nucleobase-containing small molecule metabolic process (GO:0055086)	153	2	4.29	-	0.47	4.52E-01
actin cytoskeleton organization (GO:0030036)	231	3	6.48	-	0.46	2.23E-01
regulation of supramolecular fiber organization (GO:1902903)	77	1	2.16	-	0.46	7.27E-01
cellular lipid metabolic process (GO:0044255)	314	4	8.8	-	0.45	1.17E-01
RNA modification (GO:0009451)	79	1	2.22	-	0.45	7.28E-01
regulation of cell cycle phase transition (GO:1901987)	79	1	2.22	-	0.45	7.28E-01
actin filament-based process (GO:0030029)	239	3	6.7	-	0.45	1.67E-01
positive regulation of kinase activity (GO:0033674)	80	1	2.24	-	0.45	7.29E-01
membrane lipid metabolic process (GO:0006643)	80	1	2.24	-	0.45	7.29E-01
ribonucleotide metabolic process (GO:0009259)	80	1	2.24	-	0.45	7.29E-01
macromolecule biosynthetic process (GO:0009059)	964	12	27.03	-	0.44	1.10E-03
heterocycle metabolic process (GO:0046483)	965	12	27.06	-	0.44	1.10E-03
positive regulation of transferase activity (GO:0051347)	81	1	2.27	-	0.44	7.30E-01
cellular aromatic compound metabolic process (GO:0006725)	973	12	27.28	-	0.44	1.11E-03
regulation of proteolysis (GO:0030162)	82	1	2.3	-	0.43	7.31E-01
glycerolipid biosynthetic process (GO:0045017)	83	1	2.33	-	0.43	7.32E-01
positive regulation of developmental process (GO:0051094)	83	1	2.33	-	0.43	7.32E-01
nucleobase-containing compound metabolic process (GO:0006139)	917	11	25.71	-	0.43	1.17E-03
positive regulation of response to stimulus (GO:0048584)	251	3	7.04	-	0.43	1.71E-01
small molecule metabolic process (GO:0044281)	422	5	11.83	-	0.42	3.54E-02
organic cyclic compound metabolic process (GO:1901360)	1013	12	28.4	-	0.42	4.71E-04
cellular nitrogen compound metabolic process (GO:0034641)	1098	13	30.79	-	0.42	2.51E-04
RNA processing (GO:0006396)	338	4	9.48	-	0.42	6.61E-02
nucleic acid metabolic process (GO:0090304)	764	9	21.42	-	0.42	3.05E-03
gene expression (GO:0010467)	764	9	21.42	-	0.42	3.05E-03
response to growth factor (GO:0070848)	85	1	2.38	-	0.42	7.34E-01
phospholipid biosynthetic process (GO:0008654)	85	1	2.38	-	0.42	7.34E-01
cellular response to growth factor stimulus (GO:0071363)	85	1	2.38	-	0.42	7.34E-01
organic substance biosynthetic process (GO:1901576)	1280	15	35.89	-	0.42	5.19E-05
biosynthetic process (GO:0009058)	1283	15	35.97	-	0.42	5.19E-05
RNA metabolic process (GO:0016070)	514	6	14.41	-	0.42	1.93E-02
carbohydrate metabolic process (GO:0005975)	86	1	2.41	-	0.41	7.36E-01
ribose phosphate metabolic process (GO:0019693)	86	1	2.41	-	0.41	7.36E-01
DNA metabolic process (GO:0006259)	261	3	7.32	-	0.41	1.26E-01
response to chemical (GO:0042221)	348	4	9.76	-	0.41	6.72E-02
lipid metabolic process (GO:0006629)	355	4	9.95	-	0.4	4.95E-02
response to organic substance (GO:0010033)	267	3	7.49	-	0.4	1.29E-01
cellular biosynthetic process (GO:0044249)	1249	14	35.02	-	0.4	4.10E-05
cellular response to organic substance (GO:0071310)	181	2	5.08	-	0.39	2.50E-01
positive regulation of signal transduction (GO:0009967)	181	2	5.08	-	0.39	2.50E-01
DNA repair (GO:0006281)	182	2	5.1	-	0.39	2.51E-01
animal organ morphogenesis (GO:0009887)	91	1	2.55	-	0.39	5.23E-01
peptide metabolic process (GO:0006518)	182	2	5.1	-	0.39	2.51E-01
nucleobase-containing compound biosynthetic process (GO:0034654)	183	2	5.13	-	0.39	2.52E-01
mRNA metabolic process (GO:0016071)	185	2	5.19	-	0.39	2.54E-01
tRNA metabolic process (GO:0006399)	93	1	2.61	-	0.38	5.24E-01
response to organonitrogen compound (GO:0010243)	96	1	2.69	-	0.37	5.27E-01
cellular response to oxygen-containing compound (GO:1901701)	97	1	2.72	-	0.37	5.29E-01
negative regulation of macromolecule biosynthetic process (GO:0010558)	299	3	8.38	-	0.36	5.12E-02
purine nucleotide metabolic process (GO:0006163)	100	1	2.8	-	0.36	5.33E-01
negative regulation of biosynthetic process (GO:0009890)	301	3	8.44	-	0.36	5.12E-02
negative regulation of cellular biosynthetic process (GO:0031327)	301	3	8.44	-	0.36	5.12E-02
nucleobase-containing compound catabolic process (GO:0034655)	101	1	2.83	-	0.35	5.35E-01
positive regulation of cell communication (GO:0010647)	203	2	5.69	-	0.35	1.33E-01
positive regulation of signaling (GO:0023056)	203	2	5.69	-	0.35	1.33E-01
heterocycle biosynthetic process (GO:0018130)	206	2	5.78	-	0.35	1.33E-01
aromatic compound biosynthetic process (GO:0019438)	210	2	5.89	-	0.34	1.35E-01
"mRNA splicing, via spliceosome (GO:0000398)"	106	1	2.97	-	0.34	3.75E-01
"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)"	106	1	2.97	-	0.34	3.75E-01
"RNA splicing, via transesterification reactions (GO:0000375)"	106	1	2.97	-	0.34	3.75E-01
carboxylic acid metabolic process (GO:0019752)	216	2	6.06	-	0.33	9.68E-02
organic acid metabolic process (GO:0006082)	218	2	6.11	-	0.33	9.69E-02
oxoacid metabolic process (GO:0043436)	218	2	6.11	-	0.33	9.69E-02
purine-containing compound metabolic process (GO:0072521)	111	1	3.11	-	0.32	3.79E-01
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	112	1	3.14	-	0.32	3.80E-01
organic cyclic compound biosynthetic process (GO:1901362)	229	2	6.42	-	0.31	1.00E-01
monocarboxylic acid metabolic process (GO:0032787)	115	1	3.22	-	0.31	3.84E-01
nucleotide metabolic process (GO:0009117)	116	1	3.25	-	0.31	3.85E-01
RNA splicing (GO:0008380)	119	1	3.34	-	0.3	2.67E-01
regulation of cellular component biogenesis (GO:0044087)	120	1	3.36	-	0.3	2.67E-01
response to nitrogen compound (GO:1901698)	123	1	3.45	-	0.29	2.68E-01
organonitrogen compound biosynthetic process (GO:1901566)	492	4	13.8	-	0.29	3.11E-03
cellular response to chemical stimulus (GO:0070887)	250	2	7.01	-	0.29	5.10E-02
positive regulation of phosphorylation (GO:0042327)	127	1	3.56	-	0.28	2.71E-01
cellular nitrogen compound biosynthetic process (GO:0044271)	384	3	10.77	-	0.28	1.08E-02
positive regulation of phosphorus metabolic process (GO:0010562)	131	1	3.67	-	0.27	2.76E-01
positive regulation of phosphate metabolic process (GO:0045937)	131	1	3.67	-	0.27	2.76E-01
translation (GO:0006412)	132	1	3.7	-	0.27	1.89E-01
organic anion transport (GO:0015711)	134	1	3.76	-	0.27	1.89E-01
peptide biosynthetic process (GO:0043043)	135	1	3.79	-	0.26	1.90E-01
organophosphate biosynthetic process (GO:0090407)	160	1	4.49	-	0.22	1.39E-01
amide biosynthetic process (GO:0043604)	167	1	4.68	-	0.21	9.50E-02
cellular response to endogenous stimulus (GO:0071495)	179	1	5.02	-	0.2	6.65E-02
lipid biosynthetic process (GO:0008610)	180	1	5.05	-	0.2	6.66E-02
protein maturation (GO:0051604)	183	1	5.13	-	0.19	6.72E-02
ncRNA processing (GO:0034470)	189	1	5.3	-	0.19	6.95E-02
response to endogenous stimulus (GO:0009719)	194	1	5.44	-	0.18	4.67E-02
ncRNA metabolic process (GO:0034660)	238	1	6.67	-	0.15	1.59E-02
ribonucleoside triphosphate metabolic process (GO:0009199)	25	0	0.7	-	 < 0.01	1.00E+00
mononuclear cell migration (GO:0071674)	4	0	0.11	-	 < 0.01	1.00E+00
intermediate filament organization (GO:0045109)	10	0	0.28	-	 < 0.01	1.00E+00
tissue morphogenesis (GO:0048729)	24	0	0.67	-	 < 0.01	1.00E+00
negative regulation of supramolecular fiber organization (GO:1902904)	34	0	0.95	-	 < 0.01	1.00E+00
intermediate filament cytoskeleton organization (GO:0045104)	15	0	0.42	-	 < 0.01	1.00E+00
intermediate filament-based process (GO:0045103)	15	0	0.42	-	 < 0.01	1.00E+00
vitamin transport (GO:0051180)	12	0	0.34	-	 < 0.01	1.00E+00
TOR signaling (GO:0031929)	10	0	0.28	-	 < 0.01	1.00E+00
nuclear-transcribed mRNA poly(A) tail shortening (GO:0000289)	5	0	0.14	-	 < 0.01	1.00E+00
"nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (GO:0000288)"	22	0	0.62	-	 < 0.01	1.00E+00
establishment or maintenance of bipolar cell polarity (GO:0061245)	17	0	0.48	-	 < 0.01	1.00E+00
mitotic cytokinesis (GO:0000281)	15	0	0.42	-	 < 0.01	1.00E+00
negative regulation of actin filament polymerization (GO:0030837)	23	0	0.64	-	 < 0.01	1.00E+00
sperm-egg recognition (GO:0035036)	2	0	0.06	-	 < 0.01	1.00E+00
negative regulation of actin filament depolymerization (GO:0030835)	18	0	0.5	-	 < 0.01	1.00E+00
regulation of actin filament depolymerization (GO:0030834)	20	0	0.56	-	 < 0.01	1.00E+00
meiotic sister chromatid cohesion (GO:0051177)	2	0	0.06	-	 < 0.01	1.00E+00
cyclic nucleotide metabolic process (GO:0009187)	9	0	0.25	-	 < 0.01	1.00E+00
positive regulation of proteasomal protein catabolic process (GO:1901800)	19	0	0.53	-	 < 0.01	1.00E+00
polysaccharide biosynthetic process (GO:0000271)	9	0	0.25	-	 < 0.01	1.00E+00
regulation of Rho protein signal transduction (GO:0035023)	26	0	0.73	-	 < 0.01	1.00E+00
apoptotic cell clearance (GO:0043277)	5	0	0.14	-	 < 0.01	1.00E+00
oligodendrocyte differentiation (GO:0048709)	5	0	0.14	-	 < 0.01	1.00E+00
negative regulation of monoatomic ion transport (GO:0043271)	20	0	0.56	-	 < 0.01	1.00E+00
regulation of lipid biosynthetic process (GO:0046890)	7	0	0.2	-	 < 0.01	1.00E+00
neutrophil migration (GO:1990266)	3	0	0.08	-	 < 0.01	1.00E+00
fat cell differentiation (GO:0045444)	2	0	0.06	-	 < 0.01	1.00E+00
regulation of establishment of protein localization (GO:0070201)	15	0	0.42	-	 < 0.01	1.00E+00
mitochondrial fission (GO:0000266)	9	0	0.25	-	 < 0.01	1.00E+00
positive regulation of hormone secretion (GO:0046887)	2	0	0.06	-	 < 0.01	1.00E+00
regulation of potassium ion transport (GO:0043266)	17	0	0.48	-	 < 0.01	1.00E+00
membrane invagination (GO:0010324)	12	0	0.34	-	 < 0.01	1.00E+00
regulation of peptide secretion (GO:0002791)	6	0	0.17	-	 < 0.01	1.00E+00
peptide secretion (GO:0002790)	3	0	0.08	-	 < 0.01	1.00E+00
regulation of hormone secretion (GO:0046883)	8	0	0.22	-	 < 0.01	1.00E+00
purine ribonucleoside monophosphate metabolic process (GO:0009167)	15	0	0.42	-	 < 0.01	1.00E+00
nucleotide catabolic process (GO:0009166)	27	0	0.76	-	 < 0.01	1.00E+00
