PANTHER GO-Slim Biological Process	background_genelist.full.txt - REFLIST (12732)	noca.dxy.50000kb.genenames_filtered.txt (197)	noca.dxy.50000kb.genenames_filtered.txt (expected)	noca.dxy.50000kb.genenames_filtered.txt (over/under)	noca.dxy.50000kb.genenames_filtered.txt (fold Enrichment)	P-value
organonitrogen compound biosynthetic process (GO:1901566)	492	5	7.61	-	0.66	4.54E-01
protein-containing complex assembly (GO:0065003)	198	2	3.06	-	0.65	7.73E-01
neuron projection development (GO:0031175)	199	2	3.08	-	0.65	7.73E-01
organonitrogen compound catabolic process (GO:1901565)	399	4	6.17	-	0.65	5.33E-01
inorganic ion homeostasis (GO:0098771)	100	1	1.55	-	0.65	1.00E+00
regulation of programmed cell death (GO:0043067)	101	1	1.56	-	0.64	1.00E+00
nucleobase-containing compound catabolic process (GO:0034655)	101	1	1.56	-	0.64	1.00E+00
animal organ development (GO:0048513)	304	3	4.7	-	0.64	6.35E-01
proteolysis (GO:0006508)	407	4	6.3	-	0.64	5.36E-01
regulation of cell motility (GO:2000145)	102	1	1.58	-	0.63	1.00E+00
carboxylic acid transport (GO:0046942)	102	1	1.58	-	0.63	1.00E+00
regulation of locomotion (GO:0040012)	102	1	1.58	-	0.63	1.00E+00
protein modification by small protein conjugation (GO:0032446)	204	2	3.16	-	0.63	7.73E-01
organic acid transport (GO:0015849)	102	1	1.58	-	0.63	1.00E+00
heterocycle biosynthetic process (GO:0018130)	206	2	3.19	-	0.63	7.74E-01
catabolic process (GO:0009056)	618	6	9.56	-	0.63	3.14E-01
positive regulation of transcription by RNA polymerase II (GO:0045944)	207	2	3.2	-	0.62	7.74E-01
non-membrane-bounded organelle assembly (GO:0140694)	104	1	1.61	-	0.62	1.00E+00
aromatic compound biosynthetic process (GO:0019438)	210	2	3.25	-	0.62	7.75E-01
small molecule metabolic process (GO:0044281)	422	4	6.53	-	0.61	4.21E-01
regulation of cell population proliferation (GO:0042127)	106	1	1.64	-	0.61	1.00E+00
neurogenesis (GO:0022008)	320	3	4.95	-	0.61	4.94E-01
neuron development (GO:0048666)	215	2	3.33	-	0.6	7.77E-01
cell junction organization (GO:0034330)	108	1	1.67	-	0.6	1.00E+00
regulation of cell cycle process (GO:0010564)	109	1	1.69	-	0.59	1.00E+00
post-transcriptional regulation of gene expression (GO:0010608)	112	1	1.73	-	0.58	1.00E+00
RNA processing (GO:0006396)	338	3	5.23	-	0.57	4.98E-01
negative regulation of biological process (GO:0048519)	789	7	12.21	-	0.57	1.36E-01
small molecule biosynthetic process (GO:0044283)	113	1	1.75	-	0.57	1.00E+00
intracellular monoatomic cation homeostasis (GO:0030003)	113	1	1.75	-	0.57	1.00E+00
intracellular monoatomic ion homeostasis (GO:0006873)	113	1	1.75	-	0.57	1.00E+00
cellular component biogenesis (GO:0044085)	678	6	10.49	-	0.57	1.98E-01
cellular biosynthetic process (GO:0044249)	1249	11	19.33	-	0.57	5.20E-02
mitochondrion organization (GO:0007005)	114	1	1.76	-	0.57	1.00E+00
organic cyclic compound biosynthetic process (GO:1901362)	229	2	3.54	-	0.56	5.89E-01
monocarboxylic acid metabolic process (GO:0032787)	115	1	1.78	-	0.56	1.00E+00
organic substance biosynthetic process (GO:1901576)	1280	11	19.81	-	0.56	3.16E-02
biosynthetic process (GO:0009058)	1283	11	19.85	-	0.55	3.16E-02
response to stress (GO:0006950)	479	4	7.41	-	0.54	2.56E-01
regulation of cellular component biogenesis (GO:0044087)	120	1	1.86	-	0.54	1.00E+00
cellular response to stress (GO:0033554)	365	3	5.65	-	0.53	3.84E-01
organelle localization (GO:0051640)	123	1	1.9	-	0.53	1.00E+00
negative regulation of cellular process (GO:0048523)	739	6	11.43	-	0.52	1.22E-01
positive regulation of DNA-templated transcription (GO:0045893)	248	2	3.84	-	0.52	5.97E-01
positive regulation of RNA biosynthetic process (GO:1902680)	248	2	3.84	-	0.52	5.97E-01
organic cyclic compound metabolic process (GO:1901360)	1013	8	15.67	-	0.51	4.51E-02
nucleobase-containing compound metabolic process (GO:0006139)	917	7	14.19	-	0.49	5.02E-02
monoatomic cation homeostasis (GO:0055080)	133	1	2.06	-	0.49	7.26E-01
microtubule-based process (GO:0007017)	267	2	4.13	-	0.48	4.47E-01
regulation of protein phosphorylation (GO:0001932)	134	1	2.07	-	0.48	7.26E-01
proteolysis involved in protein catabolic process (GO:0051603)	269	2	4.16	-	0.48	4.48E-01
organic substance catabolic process (GO:1901575)	542	4	8.39	-	0.48	1.52E-01
monoatomic ion homeostasis (GO:0050801)	136	1	2.1	-	0.48	7.27E-01
macromolecule biosynthetic process (GO:0009059)	964	7	14.92	-	0.47	2.91E-02
heterocycle metabolic process (GO:0046483)	965	7	14.93	-	0.47	2.91E-02
organelle assembly (GO:0070925)	277	2	4.29	-	0.47	4.52E-01
cellular aromatic compound metabolic process (GO:0006725)	973	7	15.06	-	0.46	2.93E-02
protein catabolic process (GO:0030163)	280	2	4.33	-	0.46	3.32E-01
positive regulation of RNA metabolic process (GO:0051254)	285	2	4.41	-	0.45	3.32E-01
regulation of protein metabolic process (GO:0051246)	295	2	4.56	-	0.44	3.35E-01
response to external stimulus (GO:0009605)	148	1	2.29	-	0.44	7.31E-01
proteasomal protein catabolic process (GO:0010498)	148	1	2.29	-	0.44	7.31E-01
positive regulation of protein metabolic process (GO:0051247)	148	1	2.29	-	0.44	7.31E-01
positive regulation of nitrogen compound metabolic process (GO:0051173)	453	3	7.01	-	0.43	1.70E-01
gene expression (GO:0010467)	764	5	11.82	-	0.42	3.40E-02
regulation of cell cycle (GO:0051726)	153	1	2.37	-	0.42	7.34E-01
positive regulation of nucleobase-containing compound metabolic process (GO:0045935)	307	2	4.75	-	0.42	3.41E-01
cellular nitrogen compound metabolic process (GO:0034641)	1098	7	16.99	-	0.41	6.95E-03
plasma membrane bounded cell projection organization (GO:0120036)	340	2	5.26	-	0.38	1.81E-01
RNA metabolic process (GO:0016070)	514	3	7.95	-	0.38	6.85E-02
protein-containing complex organization (GO:0043933)	344	2	5.32	-	0.38	1.82E-01
macromolecule catabolic process (GO:0009057)	345	2	5.34	-	0.37	1.82E-01
cell projection organization (GO:0030030)	346	2	5.35	-	0.37	1.82E-01
negative regulation of RNA metabolic process (GO:0051253)	183	1	2.83	-	0.35	5.36E-01
nucleic acid metabolic process (GO:0090304)	764	4	11.82	-	0.34	1.44E-02
cellular nitrogen compound biosynthetic process (GO:0044271)	384	2	5.94	-	0.34	1.36E-01
negative regulation of nucleobase-containing compound metabolic process (GO:0045934)	200	1	3.09	-	0.32	3.79E-01
regulation of organelle organization (GO:0033043)	202	1	3.13	-	0.32	3.80E-01
DNA damage response (GO:0006974)	225	1	3.48	-	0.29	2.70E-01
amide metabolic process (GO:0043603)	251	1	3.88	-	0.26	1.92E-01
DNA metabolic process (GO:0006259)	261	1	4.04	-	0.25	1.96E-01
negative regulation of nitrogen compound metabolic process (GO:0051172)	289	1	4.47	-	0.22	1.39E-01
negative regulation of cellular metabolic process (GO:0031324)	377	1	5.83	-	0.17	3.26E-02
negative regulation of macromolecule metabolic process (GO:0010605)	394	1	6.1	-	0.16	3.40E-02
negative regulation of metabolic process (GO:0009892)	406	1	6.28	-	0.16	2.27E-02
adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002460)	2	0	0.03	-	 < 0.01	1.00E+00
mononuclear cell migration (GO:0071674)	4	0	0.06	-	 < 0.01	1.00E+00
intermediate filament organization (GO:0045109)	10	0	0.15	-	 < 0.01	1.00E+00
negative regulation of supramolecular fiber organization (GO:1902904)	34	0	0.53	-	 < 0.01	1.00E+00
regulation of supramolecular fiber organization (GO:1902903)	77	0	1.19	-	 < 0.01	6.35E-01
centriole assembly (GO:0098534)	9	0	0.14	-	 < 0.01	1.00E+00
intermediate filament cytoskeleton organization (GO:0045104)	15	0	0.23	-	 < 0.01	1.00E+00
intermediate filament-based process (GO:0045103)	15	0	0.23	-	 < 0.01	1.00E+00
vitamin transport (GO:0051180)	12	0	0.19	-	 < 0.01	1.00E+00
nuclear-transcribed mRNA poly(A) tail shortening (GO:0000289)	5	0	0.08	-	 < 0.01	1.00E+00
protein localization to mitochondrion (GO:0070585)	21	0	0.32	-	 < 0.01	1.00E+00
"nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (GO:0000288)"	22	0	0.34	-	 < 0.01	1.00E+00
mitotic cytokinesis (GO:0000281)	15	0	0.23	-	 < 0.01	1.00E+00
negative regulation of actin filament polymerization (GO:0030837)	23	0	0.36	-	 < 0.01	1.00E+00
sperm-egg recognition (GO:0035036)	2	0	0.03	-	 < 0.01	1.00E+00
negative regulation of actin filament depolymerization (GO:0030835)	18	0	0.28	-	 < 0.01	1.00E+00
regulation of actin filament depolymerization (GO:0030834)	20	0	0.31	-	 < 0.01	1.00E+00
regulation of actin filament polymerization (GO:0030833)	45	0	0.7	-	 < 0.01	1.00E+00
regulation of actin filament length (GO:0030832)	48	0	0.74	-	 < 0.01	1.00E+00
meiotic sister chromatid cohesion (GO:0051177)	2	0	0.03	-	 < 0.01	1.00E+00
cyclic nucleotide metabolic process (GO:0009187)	9	0	0.14	-	 < 0.01	1.00E+00
regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043281)	18	0	0.28	-	 < 0.01	1.00E+00
positive regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043280)	15	0	0.23	-	 < 0.01	1.00E+00
mitotic cell cycle (GO:0000278)	174	0	2.69	-	 < 0.01	1.19E-01
positive regulation of proteasomal protein catabolic process (GO:1901800)	19	0	0.29	-	 < 0.01	1.00E+00
polysaccharide biosynthetic process (GO:0000271)	9	0	0.14	-	 < 0.01	1.00E+00
lymphocyte mediated immunity (GO:0002449)	2	0	0.03	-	 < 0.01	1.00E+00
regulation of Rho protein signal transduction (GO:0035023)	26	0	0.4	-	 < 0.01	1.00E+00
leukocyte mediated immunity (GO:0002443)	2	0	0.03	-	 < 0.01	1.00E+00
apoptotic cell clearance (GO:0043277)	5	0	0.08	-	 < 0.01	1.00E+00
nuclear export (GO:0051168)	54	0	0.84	-	 < 0.01	1.00E+00
oligodendrocyte differentiation (GO:0048709)	5	0	0.08	-	 < 0.01	1.00E+00
endothelial cell differentiation (GO:0045446)	4	0	0.06	-	 < 0.01	1.00E+00
neutrophil migration (GO:1990266)	3	0	0.05	-	 < 0.01	1.00E+00
fat cell differentiation (GO:0045444)	2	0	0.03	-	 < 0.01	1.00E+00
axo-dendritic transport (GO:0008088)	17	0	0.26	-	 < 0.01	1.00E+00
regulation of establishment of protein localization (GO:0070201)	15	0	0.23	-	 < 0.01	1.00E+00
mitochondrial fission (GO:0000266)	9	0	0.14	-	 < 0.01	1.00E+00
positive regulation of hormone secretion (GO:0046887)	2	0	0.03	-	 < 0.01	1.00E+00
membrane invagination (GO:0010324)	12	0	0.19	-	 < 0.01	1.00E+00
regulation of peptide secretion (GO:0002791)	6	0	0.09	-	 < 0.01	1.00E+00
peptide secretion (GO:0002790)	3	0	0.05	-	 < 0.01	1.00E+00
regulation of hormone secretion (GO:0046883)	8	0	0.12	-	 < 0.01	1.00E+00
purine ribonucleoside monophosphate metabolic process (GO:0009167)	15	0	0.23	-	 < 0.01	1.00E+00
glucose 6-phosphate metabolic process (GO:0051156)	10	0	0.15	-	 < 0.01	1.00E+00
regulation of cell projection assembly (GO:0060491)	24	0	0.37	-	 < 0.01	1.00E+00
nucleoside catabolic process (GO:0009164)	8	0	0.12	-	 < 0.01	1.00E+00
ribonucleoside monophosphate metabolic process (GO:0009161)	16	0	0.25	-	 < 0.01	1.00E+00
negative regulation of protein catabolic process (GO:0042177)	11	0	0.17	-	 < 0.01	1.00E+00
regulation of protein catabolic process (GO:0042176)	45	0	0.7	-	 < 0.01	1.00E+00
response to interleukin-1 (GO:0070555)	2	0	0.03	-	 < 0.01	1.00E+00
hormone secretion (GO:0046879)	3	0	0.05	-	 < 0.01	1.00E+00
mesenchyme development (GO:0060485)	34	0	0.53	-	 < 0.01	1.00E+00
ceramide biosynthetic process (GO:0046513)	27	0	0.42	-	 < 0.01	1.00E+00
regulation of protein-containing complex assembly (GO:0043254)	57	0	0.88	-	 < 0.01	1.00E+00
purine ribonucleotide biosynthetic process (GO:0009152)	33	0	0.51	-	 < 0.01	1.00E+00
heme metabolic process (GO:0042168)	10	0	0.15	-	 < 0.01	1.00E+00
positive regulation of cell cycle (GO:0045787)	27	0	0.42	-	 < 0.01	1.00E+00
negative regulation of cell cycle (GO:0045786)	61	0	0.94	-	 < 0.01	1.00E+00
positive regulation of cell adhesion (GO:0045785)	24	0	0.37	-	 < 0.01	1.00E+00
response to fatty acid (GO:0070542)	1	0	0.02	-	 < 0.01	1.00E+00
spliceosomal complex assembly (GO:0000245)	19	0	0.29	-	 < 0.01	1.00E+00
regulation of actin polymerization or depolymerization (GO:0008064)	46	0	0.71	-	 < 0.01	1.00E+00
respiratory electron transport chain (GO:0022904)	13	0	0.2	-	 < 0.01	1.00E+00
protein hydroxylation (GO:0018126)	14	0	0.22	-	 < 0.01	1.00E+00
electron transport chain (GO:0022900)	16	0	0.25	-	 < 0.01	1.00E+00
glycerolipid catabolic process (GO:0046503)	14	0	0.22	-	 < 0.01	1.00E+00
regulation of protein-containing complex disassembly (GO:0043244)	38	0	0.59	-	 < 0.01	1.00E+00
negative regulation of protein-containing complex disassembly (GO:0043242)	27	0	0.42	-	 < 0.01	1.00E+00
multivesicular body sorting pathway (GO:0071985)	26	0	0.4	-	 < 0.01	1.00E+00
purine nucleoside triphosphate biosynthetic process (GO:0009145)	2	0	0.03	-	 < 0.01	1.00E+00
nucleoside triphosphate catabolic process (GO:0009143)	5	0	0.08	-	 < 0.01	1.00E+00
negative regulation of cytoskeleton organization (GO:0051494)	35	0	0.54	-	 < 0.01	1.00E+00
nucleoside triphosphate biosynthetic process (GO:0009142)	8	0	0.12	-	 < 0.01	1.00E+00
lipoprotein biosynthetic process (GO:0042158)	56	0	0.87	-	 < 0.01	1.00E+00
chaperone-mediated protein complex assembly (GO:0051131)	4	0	0.06	-	 < 0.01	1.00E+00
regulation of cytoskeleton organization (GO:0051493)	125	0	1.93	-	 < 0.01	2.70E-01
lipoprotein metabolic process (GO:0042157)	63	0	0.97	-	 < 0.01	1.00E+00
positive regulation of cellular component organization (GO:0051130)	100	0	1.55	-	 < 0.01	4.11E-01
regulation of stress fiber assembly (GO:0051492)	6	0	0.09	-	 < 0.01	1.00E+00
negative regulation of blood pressure (GO:0045776)	6	0	0.09	-	 < 0.01	1.00E+00
protein K63-linked deubiquitination (GO:0070536)	7	0	0.11	-	 < 0.01	1.00E+00
protein K63-linked ubiquitination (GO:0070534)	5	0	0.08	-	 < 0.01	1.00E+00
mitochondrial fusion (GO:0008053)	9	0	0.14	-	 < 0.01	1.00E+00
negative regulation of NF-kappaB transcription factor activity (GO:0032088)	6	0	0.09	-	 < 0.01	1.00E+00
phosphatidylinositol phosphate biosynthetic process (GO:0046854)	37	0	0.57	-	 < 0.01	1.00E+00
regulation of filopodium assembly (GO:0051489)	6	0	0.09	-	 < 0.01	1.00E+00
intracellular glucose homeostasis (GO:0001678)	6	0	0.09	-	 < 0.01	1.00E+00
regulation of bone remodeling (GO:0046850)	4	0	0.06	-	 < 0.01	1.00E+00
RNA polymerase II preinitiation complex assembly (GO:0051123)	6	0	0.09	-	 < 0.01	1.00E+00
long-chain fatty acid metabolic process (GO:0001676)	11	0	0.17	-	 < 0.01	1.00E+00
"retrograde transport, endosome to Golgi (GO:0042147)"	34	0	0.53	-	 < 0.01	1.00E+00
platelet aggregation (GO:0070527)	5	0	0.08	-	 < 0.01	1.00E+00
regulation of angiogenesis (GO:0045765)	22	0	0.34	-	 < 0.01	1.00E+00
regulation of cytosolic calcium ion concentration (GO:0051480)	17	0	0.26	-	 < 0.01	1.00E+00
"vacuole fusion, non-autophagic (GO:0042144)"	1	0	0.02	-	 < 0.01	1.00E+00
tRNA threonylcarbamoyladenosine metabolic process (GO:0070525)	1	0	0.02	-	 < 0.01	1.00E+00
positive regulation of adenylate cyclase activity (GO:0045762)	5	0	0.08	-	 < 0.01	1.00E+00
motor neuron axon guidance (GO:0008045)	6	0	0.09	-	 < 0.01	1.00E+00
positive regulation of proteolysis involved in protein catabolic process (GO:1903052)	19	0	0.29	-	 < 0.01	1.00E+00
negative regulation of proteolysis involved in protein catabolic process (GO:1903051)	5	0	0.08	-	 < 0.01	1.00E+00
regulation of proteolysis involved in protein catabolic process (GO:1903050)	33	0	0.51	-	 < 0.01	1.00E+00
innate immune response-activating signaling pathway (GO:0002758)	12	0	0.19	-	 < 0.01	1.00E+00
peptidyl-tyrosine phosphorylation (GO:0018108)	6	0	0.09	-	 < 0.01	1.00E+00
peptidyl-tyrosine dephosphorylation (GO:0035335)	15	0	0.23	-	 < 0.01	1.00E+00
filopodium assembly (GO:0046847)	3	0	0.05	-	 < 0.01	1.00E+00
cytoplasmic pattern recognition receptor signaling pathway (GO:0002753)	4	0	0.06	-	 < 0.01	1.00E+00
skin development (GO:0043588)	3	0	0.05	-	 < 0.01	1.00E+00
purine nucleoside monophosphate metabolic process (GO:0009126)	15	0	0.23	-	 < 0.01	1.00E+00
ear development (GO:0043583)	2	0	0.03	-	 < 0.01	1.00E+00
regulation of amide metabolic process (GO:0034248)	56	0	0.87	-	 < 0.01	1.00E+00
ameboidal-type cell migration (GO:0001667)	39	0	0.6	-	 < 0.01	1.00E+00
response to hypoxia (GO:0001666)	16	0	0.25	-	 < 0.01	1.00E+00
nucleoside monophosphate metabolic process (GO:0009123)	18	0	0.28	-	 < 0.01	1.00E+00
meiotic DNA double-strand break formation (GO:0042138)	3	0	0.05	-	 < 0.01	1.00E+00
regulation of transforming growth factor beta receptor signaling pathway (GO:0017015)	8	0	0.12	-	 < 0.01	1.00E+00
cell recognition (GO:0008037)	16	0	0.25	-	 < 0.01	1.00E+00
potassium ion import across plasma membrane (GO:1990573)	31	0	0.48	-	 < 0.01	1.00E+00
mitotic cell cycle process (GO:1903047)	140	0	2.17	-	 < 0.01	2.83E-01
negative regulation of T cell proliferation (GO:0042130)	2	0	0.03	-	 < 0.01	1.00E+00
V(D)J recombination (GO:0033151)	2	0	0.03	-	 < 0.01	1.00E+00
hippo signaling (GO:0035329)	15	0	0.23	-	 < 0.01	1.00E+00
negative regulation of organelle organization (GO:0010639)	54	0	0.84	-	 < 0.01	1.00E+00
positive regulation of organelle organization (GO:0010638)	52	0	0.8	-	 < 0.01	1.00E+00
carbohydrate phosphorylation (GO:0046835)	6	0	0.09	-	 < 0.01	1.00E+00
cellular response to oxidative stress (GO:0034599)	11	0	0.17	-	 < 0.01	1.00E+00
regulation of T cell proliferation (GO:0042129)	3	0	0.05	-	 < 0.01	1.00E+00
nucleobase metabolic process (GO:0009112)	20	0	0.31	-	 < 0.01	1.00E+00
eye development (GO:0001654)	34	0	0.53	-	 < 0.01	1.00E+00
cytochrome complex assembly (GO:0017004)	3	0	0.05	-	 < 0.01	1.00E+00
nuclear chromosome segregation (GO:0098813)	55	0	0.85	-	 < 0.01	1.00E+00
negative regulation of Notch signaling pathway (GO:0045746)	3	0	0.05	-	 < 0.01	1.00E+00
regulation of microtubule cytoskeleton organization (GO:0070507)	35	0	0.54	-	 < 0.01	1.00E+00
positive regulation of leukocyte cell-cell adhesion (GO:1903039)	5	0	0.08	-	 < 0.01	1.00E+00
negative regulation of leukocyte cell-cell adhesion (GO:1903038)	4	0	0.06	-	 < 0.01	1.00E+00
regulation of leukocyte cell-cell adhesion (GO:1903037)	8	0	0.12	-	 < 0.01	1.00E+00
regulation of response to wounding (GO:1903034)	7	0	0.11	-	 < 0.01	1.00E+00
sperm motility (GO:0097722)	1	0	0.02	-	 < 0.01	1.00E+00
RNA splicing (GO:0008380)	119	0	1.84	-	 < 0.01	2.68E-01
regulation of endopeptidase activity (GO:0052548)	43	0	0.67	-	 < 0.01	1.00E+00
calcineurin-mediated signaling (GO:0097720)	7	0	0.11	-	 < 0.01	1.00E+00
regulation of peptidase activity (GO:0052547)	44	0	0.68	-	 < 0.01	1.00E+00
negative regulation of gene expression (GO:0010629)	129	0	2	-	 < 0.01	2.72E-01
response to external biotic stimulus (GO:0043207)	45	0	0.7	-	 < 0.01	1.00E+00
oligopeptide transmembrane transport (GO:0035672)	2	0	0.03	-	 < 0.01	1.00E+00
osteoblast differentiation (GO:0001649)	5	0	0.08	-	 < 0.01	1.00E+00
neutrophil activation (GO:0042119)	2	0	0.03	-	 < 0.01	1.00E+00
positive regulation of DNA repair (GO:0045739)	10	0	0.15	-	 < 0.01	1.00E+00
piRNA processing (GO:0034587)	8	0	0.12	-	 < 0.01	1.00E+00
negative regulation of DNA repair (GO:0045738)	7	0	0.11	-	 < 0.01	1.00E+00
regulation of intracellular pH (GO:0051453)	27	0	0.42	-	 < 0.01	1.00E+00
intracellular pH reduction (GO:0051452)	10	0	0.15	-	 < 0.01	1.00E+00
odontogenesis (GO:0042476)	2	0	0.03	-	 < 0.01	1.00E+00
odontogenesis of dentin-containing tooth (GO:0042475)	2	0	0.03	-	 < 0.01	1.00E+00
positive regulation of protein catabolic process (GO:0045732)	26	0	0.4	-	 < 0.01	1.00E+00
regulation of heart contraction (GO:0008016)	21	0	0.32	-	 < 0.01	1.00E+00
blood circulation (GO:0008015)	41	0	0.63	-	 < 0.01	1.00E+00
T cell activation (GO:0042110)	7	0	0.11	-	 < 0.01	1.00E+00
inner ear morphogenesis (GO:0042472)	2	0	0.03	-	 < 0.01	1.00E+00
chromosome localization (GO:0050000)	13	0	0.2	-	 < 0.01	1.00E+00
"vesicle targeting, trans-Golgi to periciliary membrane compartment (GO:0097712)"	1	0	0.02	-	 < 0.01	1.00E+00
protein localization to cilium (GO:0061512)	15	0	0.23	-	 < 0.01	1.00E+00
centriole elongation (GO:0061511)	1	0	0.02	-	 < 0.01	1.00E+00
antigen processing and presentation (GO:0019882)	3	0	0.05	-	 < 0.01	1.00E+00
sperm axoneme assembly (GO:0007288)	1	0	0.02	-	 < 0.01	1.00E+00
spermatid development (GO:0007286)	4	0	0.06	-	 < 0.01	1.00E+00
spermatogenesis (GO:0007283)	19	0	0.29	-	 < 0.01	1.00E+00
germ cell development (GO:0007281)	19	0	0.29	-	 < 0.01	1.00E+00
mitochondrial DNA metabolic process (GO:0032042)	4	0	0.06	-	 < 0.01	1.00E+00
carbohydrate transmembrane transport (GO:0034219)	10	0	0.15	-	 < 0.01	1.00E+00
negative regulation of G2/M transition of mitotic cell cycle (GO:0010972)	15	0	0.23	-	 < 0.01	1.00E+00
regulation of meiotic cell cycle (GO:0051445)	10	0	0.15	-	 < 0.01	1.00E+00
transport along microtubule (GO:0010970)	53	0	0.82	-	 < 0.01	1.00E+00
positive regulation of translation (GO:0045727)	21	0	0.32	-	 < 0.01	1.00E+00
positive regulation of T cell proliferation (GO:0042102)	2	0	0.03	-	 < 0.01	1.00E+00
eye photoreceptor cell development (GO:0042462)	1	0	0.02	-	 < 0.01	1.00E+00
regulation of cell size (GO:0008361)	16	0	0.25	-	 < 0.01	1.00E+00
regulation of natural killer cell mediated immunity (GO:0002715)	2	0	0.03	-	 < 0.01	1.00E+00
neuromuscular synaptic transmission (GO:0007274)	10	0	0.15	-	 < 0.01	1.00E+00
regulation of mitotic sister chromatid separation (GO:0010965)	15	0	0.23	-	 < 0.01	1.00E+00
DNA geometric change (GO:0032392)	12	0	0.19	-	 < 0.01	1.00E+00
protein acylation (GO:0043543)	29	0	0.45	-	 < 0.01	1.00E+00
endothelial cell migration (GO:0043542)	4	0	0.06	-	 < 0.01	1.00E+00
IMP biosynthetic process (GO:0006188)	6	0	0.09	-	 < 0.01	1.00E+00
regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090092)	35	0	0.54	-	 < 0.01	1.00E+00
lipid translocation (GO:0034204)	23	0	0.36	-	 < 0.01	1.00E+00
cGMP biosynthetic process (GO:0006182)	5	0	0.08	-	 < 0.01	1.00E+00
organelle disassembly (GO:1903008)	56	0	0.87	-	 < 0.01	1.00E+00
negative regulation of macroautophagy (GO:0016242)	4	0	0.06	-	 < 0.01	1.00E+00
regulation of macroautophagy (GO:0016241)	15	0	0.23	-	 < 0.01	1.00E+00
Rho protein signal transduction (GO:0007266)	27	0	0.42	-	 < 0.01	1.00E+00
regulation of response to endoplasmic reticulum stress (GO:1905897)	6	0	0.09	-	 < 0.01	1.00E+00
regulation of chromatin organization (GO:1902275)	4	0	0.06	-	 < 0.01	1.00E+00
positive regulation of insulin secretion (GO:0032024)	1	0	0.02	-	 < 0.01	1.00E+00
regulation of peptide transport (GO:0090087)	6	0	0.09	-	 < 0.01	1.00E+00
tyrosine phosphorylation of STAT protein (GO:0007260)	1	0	0.02	-	 < 0.01	1.00E+00
positive regulation of peptidase activity (GO:0010952)	20	0	0.31	-	 < 0.01	1.00E+00
negative regulation of endopeptidase activity (GO:0010951)	24	0	0.37	-	 < 0.01	1.00E+00
positive regulation of endopeptidase activity (GO:0010950)	19	0	0.29	-	 < 0.01	1.00E+00
negative regulation of nuclear division (GO:0051784)	13	0	0.2	-	 < 0.01	1.00E+00
replication fork processing (GO:0031297)	14	0	0.22	-	 < 0.01	1.00E+00
regulation of nuclear division (GO:0051783)	28	0	0.43	-	 < 0.01	1.00E+00
heterochromatin organization (GO:0070828)	27	0	0.42	-	 < 0.01	1.00E+00
regulation of ERBB signaling pathway (GO:1901184)	12	0	0.19	-	 < 0.01	1.00E+00
hormone biosynthetic process (GO:0042446)	1	0	0.02	-	 < 0.01	1.00E+00
positive regulation of cell division (GO:0051781)	3	0	0.05	-	 < 0.01	1.00E+00
hormone metabolic process (GO:0042445)	16	0	0.25	-	 < 0.01	1.00E+00
mitochondrial respiratory chain complex III assembly (GO:0034551)	2	0	0.03	-	 < 0.01	1.00E+00
mitochondrial respiratory chain complex assembly (GO:0033108)	12	0	0.19	-	 < 0.01	1.00E+00
positive regulation of macroautophagy (GO:0016239)	10	0	0.15	-	 < 0.01	1.00E+00
pigment metabolic process (GO:0042440)	15	0	0.23	-	 < 0.01	1.00E+00
microautophagy (GO:0016237)	18	0	0.28	-	 < 0.01	1.00E+00
antimicrobial humoral immune response mediated by antimicrobial peptide (GO:0061844)	1	0	0.02	-	 < 0.01	1.00E+00
telomere capping (GO:0016233)	3	0	0.05	-	 < 0.01	1.00E+00
receptor signaling pathway via JAK-STAT (GO:0007259)	11	0	0.17	-	 < 0.01	1.00E+00
JNK cascade (GO:0007254)	6	0	0.09	-	 < 0.01	1.00E+00
negative regulation of cell cycle process (GO:0010948)	51	0	0.79	-	 < 0.01	1.00E+00
positive regulation of protein serine/threonine kinase activity (GO:0071902)	12	0	0.19	-	 < 0.01	1.00E+00
regulation of protein serine/threonine kinase activity (GO:0071900)	51	0	0.79	-	 < 0.01	1.00E+00
positive regulation of cytokine-mediated signaling pathway (GO:0001961)	3	0	0.05	-	 < 0.01	1.00E+00
positive regulation of cyclase activity (GO:0031281)	9	0	0.14	-	 < 0.01	1.00E+00
acetylcholine receptor signaling pathway (GO:0095500)	25	0	0.39	-	 < 0.01	1.00E+00
snRNA transcription by RNA polymerase II (GO:0042795)	7	0	0.11	-	 < 0.01	1.00E+00
collagen fibril organization (GO:0030199)	11	0	0.17	-	 < 0.01	1.00E+00
endosome to lysosome transport (GO:0008333)	14	0	0.22	-	 < 0.01	1.00E+00
regulation of mRNA processing (GO:0050684)	39	0	0.6	-	 < 0.01	1.00E+00
iron-sulfur cluster assembly (GO:0016226)	11	0	0.17	-	 < 0.01	1.00E+00
nucleolar large rRNA transcription by RNA polymerase I (GO:0042790)	6	0	0.09	-	 < 0.01	1.00E+00
negative regulation of blood coagulation (GO:0030195)	4	0	0.06	-	 < 0.01	1.00E+00
