PANTHER GO-Slim Biological Process	background_genelist.full.txt - REFLIST (12732)	pyrr.dxy.50000kb.genenames_filtered.txt (187)	pyrr.dxy.50000kb.genenames_filtered.txt (expected)	pyrr.dxy.50000kb.genenames_filtered.txt (over/under)	pyrr.dxy.50000kb.genenames_filtered.txt (fold Enrichment)	P-value
purine ribonucleoside monophosphate metabolic process (GO:0009167)	15	0	0.22	-	 < 0.01	1.00E+00
glucose 6-phosphate metabolic process (GO:0051156)	10	0	0.15	-	 < 0.01	1.00E+00
nucleotide catabolic process (GO:0009166)	27	0	0.4	-	 < 0.01	1.00E+00
regulation of cell projection assembly (GO:0060491)	24	0	0.35	-	 < 0.01	1.00E+00
nucleotide biosynthetic process (GO:0009165)	61	0	0.9	-	 < 0.01	1.00E+00
nucleoside catabolic process (GO:0009164)	8	0	0.12	-	 < 0.01	1.00E+00
ribonucleoside monophosphate metabolic process (GO:0009161)	16	0	0.23	-	 < 0.01	1.00E+00
negative regulation of protein catabolic process (GO:0042177)	11	0	0.16	-	 < 0.01	1.00E+00
regulation of protein catabolic process (GO:0042176)	45	0	0.66	-	 < 0.01	1.00E+00
response to interleukin-1 (GO:0070555)	2	0	0.03	-	 < 0.01	1.00E+00
actin filament bundle organization (GO:0061572)	22	0	0.32	-	 < 0.01	1.00E+00
hormone secretion (GO:0046879)	3	0	0.04	-	 < 0.01	1.00E+00
ceramide biosynthetic process (GO:0046513)	27	0	0.4	-	 < 0.01	1.00E+00
regulation of protein-containing complex assembly (GO:0043254)	57	0	0.84	-	 < 0.01	1.00E+00
heterocycle biosynthetic process (GO:0018130)	206	0	3.03	-	 < 0.01	7.87E-02
purine ribonucleotide catabolic process (GO:0009154)	19	0	0.28	-	 < 0.01	1.00E+00
purine ribonucleotide biosynthetic process (GO:0009152)	33	0	0.48	-	 < 0.01	1.00E+00
heme metabolic process (GO:0042168)	10	0	0.15	-	 < 0.01	1.00E+00
positive regulation of cell cycle (GO:0045787)	27	0	0.4	-	 < 0.01	1.00E+00
purine ribonucleotide metabolic process (GO:0009150)	73	0	1.07	-	 < 0.01	6.30E-01
negative regulation of cell cycle (GO:0045786)	61	0	0.9	-	 < 0.01	1.00E+00
response to fatty acid (GO:0070542)	1	0	0.01	-	 < 0.01	1.00E+00
spliceosomal complex assembly (GO:0000245)	19	0	0.28	-	 < 0.01	1.00E+00
regulation of actin polymerization or depolymerization (GO:0008064)	46	0	0.68	-	 < 0.01	1.00E+00
regulation of lipid metabolic process (GO:0019216)	13	0	0.19	-	 < 0.01	1.00E+00
respiratory electron transport chain (GO:0022904)	13	0	0.19	-	 < 0.01	1.00E+00
protein hydroxylation (GO:0018126)	14	0	0.21	-	 < 0.01	1.00E+00
electron transport chain (GO:0022900)	16	0	0.23	-	 < 0.01	1.00E+00
glycerolipid catabolic process (GO:0046503)	14	0	0.21	-	 < 0.01	1.00E+00
regulation of protein-containing complex disassembly (GO:0043244)	38	0	0.56	-	 < 0.01	1.00E+00
negative regulation of protein-containing complex disassembly (GO:0043242)	27	0	0.4	-	 < 0.01	1.00E+00
multivesicular body sorting pathway (GO:0071985)	26	0	0.38	-	 < 0.01	1.00E+00
purine nucleoside triphosphate biosynthetic process (GO:0009145)	2	0	0.03	-	 < 0.01	1.00E+00
purine nucleoside triphosphate metabolic process (GO:0009144)	22	0	0.32	-	 < 0.01	1.00E+00
nucleoside triphosphate catabolic process (GO:0009143)	5	0	0.07	-	 < 0.01	1.00E+00
negative regulation of cytoskeleton organization (GO:0051494)	35	0	0.51	-	 < 0.01	1.00E+00
nucleoside triphosphate biosynthetic process (GO:0009142)	8	0	0.12	-	 < 0.01	1.00E+00
lipoprotein biosynthetic process (GO:0042158)	56	0	0.82	-	 < 0.01	1.00E+00
chaperone-mediated protein complex assembly (GO:0051131)	4	0	0.06	-	 < 0.01	1.00E+00
regulation of cytoskeleton organization (GO:0051493)	125	0	1.84	-	 < 0.01	2.68E-01
nucleoside triphosphate metabolic process (GO:0009141)	33	0	0.48	-	 < 0.01	1.00E+00
lipoprotein metabolic process (GO:0042157)	63	0	0.93	-	 < 0.01	1.00E+00
positive regulation of cellular component organization (GO:0051130)	100	0	1.47	-	 < 0.01	4.08E-01
regulation of stress fiber assembly (GO:0051492)	6	0	0.09	-	 < 0.01	1.00E+00
negative regulation of blood pressure (GO:0045776)	6	0	0.09	-	 < 0.01	1.00E+00
protein K63-linked deubiquitination (GO:0070536)	7	0	0.1	-	 < 0.01	1.00E+00
protein K63-linked ubiquitination (GO:0070534)	5	0	0.07	-	 < 0.01	1.00E+00
mitochondrial fusion (GO:0008053)	9	0	0.13	-	 < 0.01	1.00E+00
negative regulation of NF-kappaB transcription factor activity (GO:0032088)	6	0	0.09	-	 < 0.01	1.00E+00
phosphatidylinositol phosphate biosynthetic process (GO:0046854)	37	0	0.54	-	 < 0.01	1.00E+00
regulation of filopodium assembly (GO:0051489)	6	0	0.09	-	 < 0.01	1.00E+00
intracellular glucose homeostasis (GO:0001678)	6	0	0.09	-	 < 0.01	1.00E+00
regulation of bone remodeling (GO:0046850)	4	0	0.06	-	 < 0.01	1.00E+00
nucleoside diphosphate catabolic process (GO:0009134)	23	0	0.34	-	 < 0.01	1.00E+00
RNA polymerase II preinitiation complex assembly (GO:0051123)	6	0	0.09	-	 < 0.01	1.00E+00
long-chain fatty acid metabolic process (GO:0001676)	11	0	0.16	-	 < 0.01	1.00E+00
nucleoside diphosphate metabolic process (GO:0009132)	26	0	0.38	-	 < 0.01	1.00E+00
"retrograde transport, endosome to Golgi (GO:0042147)"	34	0	0.5	-	 < 0.01	1.00E+00
platelet aggregation (GO:0070527)	5	0	0.07	-	 < 0.01	1.00E+00
regulation of angiogenesis (GO:0045765)	22	0	0.32	-	 < 0.01	1.00E+00
"vacuole fusion, non-autophagic (GO:0042144)"	1	0	0.01	-	 < 0.01	1.00E+00
tRNA threonylcarbamoyladenosine metabolic process (GO:0070525)	1	0	0.01	-	 < 0.01	1.00E+00
positive regulation of adenylate cyclase activity (GO:0045762)	5	0	0.07	-	 < 0.01	1.00E+00
regulation of adenylate cyclase activity (GO:0045761)	7	0	0.1	-	 < 0.01	1.00E+00
motor neuron axon guidance (GO:0008045)	6	0	0.09	-	 < 0.01	1.00E+00
positive regulation of proteolysis involved in protein catabolic process (GO:1903052)	19	0	0.28	-	 < 0.01	1.00E+00
negative regulation of proteolysis involved in protein catabolic process (GO:1903051)	5	0	0.07	-	 < 0.01	1.00E+00
regulation of proteolysis involved in protein catabolic process (GO:1903050)	33	0	0.48	-	 < 0.01	1.00E+00
innate immune response-activating signaling pathway (GO:0002758)	12	0	0.18	-	 < 0.01	1.00E+00
peptidyl-tyrosine phosphorylation (GO:0018108)	6	0	0.09	-	 < 0.01	1.00E+00
peptidyl-threonine phosphorylation (GO:0018107)	17	0	0.25	-	 < 0.01	1.00E+00
peptidyl-tyrosine dephosphorylation (GO:0035335)	15	0	0.22	-	 < 0.01	1.00E+00
negative regulation of cell communication (GO:0010648)	168	0	2.47	-	 < 0.01	1.84E-01
filopodium assembly (GO:0046847)	3	0	0.04	-	 < 0.01	1.00E+00
cytoplasmic pattern recognition receptor signaling pathway (GO:0002753)	4	0	0.06	-	 < 0.01	1.00E+00
skin development (GO:0043588)	3	0	0.04	-	 < 0.01	1.00E+00
purine nucleoside monophosphate metabolic process (GO:0009126)	15	0	0.22	-	 < 0.01	1.00E+00
ear development (GO:0043583)	2	0	0.03	-	 < 0.01	1.00E+00
regulation of amide metabolic process (GO:0034248)	56	0	0.82	-	 < 0.01	1.00E+00
response to hypoxia (GO:0001666)	16	0	0.23	-	 < 0.01	1.00E+00
nucleoside monophosphate metabolic process (GO:0009123)	18	0	0.26	-	 < 0.01	1.00E+00
meiotic DNA double-strand break formation (GO:0042138)	3	0	0.04	-	 < 0.01	1.00E+00
regulation of transforming growth factor beta receptor signaling pathway (GO:0017015)	8	0	0.12	-	 < 0.01	1.00E+00
regulation of transcription elongation by RNA polymerase II (GO:0034243)	11	0	0.16	-	 < 0.01	1.00E+00
potassium ion import across plasma membrane (GO:1990573)	31	0	0.46	-	 < 0.01	1.00E+00
negative regulation of T cell proliferation (GO:0042130)	2	0	0.03	-	 < 0.01	1.00E+00
V(D)J recombination (GO:0033151)	2	0	0.03	-	 < 0.01	1.00E+00
hippo signaling (GO:0035329)	15	0	0.22	-	 < 0.01	1.00E+00
negative regulation of organelle organization (GO:0010639)	54	0	0.79	-	 < 0.01	1.00E+00
positive regulation of organelle organization (GO:0010638)	52	0	0.76	-	 < 0.01	1.00E+00
carbohydrate phosphorylation (GO:0046835)	6	0	0.09	-	 < 0.01	1.00E+00
nucleotide metabolic process (GO:0009117)	116	0	1.7	-	 < 0.01	4.21E-01
nucleoside metabolic process (GO:0009116)	14	0	0.21	-	 < 0.01	1.00E+00
regulation of T cell proliferation (GO:0042129)	3	0	0.04	-	 < 0.01	1.00E+00
nucleobase metabolic process (GO:0009112)	20	0	0.29	-	 < 0.01	1.00E+00
eye development (GO:0001654)	34	0	0.5	-	 < 0.01	1.00E+00
cytochrome complex assembly (GO:0017004)	3	0	0.04	-	 < 0.01	1.00E+00
negative regulation of Notch signaling pathway (GO:0045746)	3	0	0.04	-	 < 0.01	1.00E+00
regulation of microtubule cytoskeleton organization (GO:0070507)	35	0	0.51	-	 < 0.01	1.00E+00
positive regulation of leukocyte cell-cell adhesion (GO:1903039)	5	0	0.07	-	 < 0.01	1.00E+00
negative regulation of leukocyte cell-cell adhesion (GO:1903038)	4	0	0.06	-	 < 0.01	1.00E+00
regulation of leukocyte cell-cell adhesion (GO:1903037)	8	0	0.12	-	 < 0.01	1.00E+00
regulation of response to wounding (GO:1903034)	7	0	0.1	-	 < 0.01	1.00E+00
sperm motility (GO:0097722)	1	0	0.01	-	 < 0.01	1.00E+00
regulation of endopeptidase activity (GO:0052548)	43	0	0.63	-	 < 0.01	1.00E+00
calcineurin-mediated signaling (GO:0097720)	7	0	0.1	-	 < 0.01	1.00E+00
regulation of peptidase activity (GO:0052547)	44	0	0.65	-	 < 0.01	1.00E+00
negative regulation of gene expression (GO:0010629)	129	0	1.89	-	 < 0.01	2.69E-01
oligopeptide transmembrane transport (GO:0035672)	2	0	0.03	-	 < 0.01	1.00E+00
osteoblast differentiation (GO:0001649)	5	0	0.07	-	 < 0.01	1.00E+00
neutrophil activation (GO:0042119)	2	0	0.03	-	 < 0.01	1.00E+00
positive regulation of DNA repair (GO:0045739)	10	0	0.15	-	 < 0.01	1.00E+00
piRNA processing (GO:0034587)	8	0	0.12	-	 < 0.01	1.00E+00
negative regulation of DNA repair (GO:0045738)	7	0	0.1	-	 < 0.01	1.00E+00
glycoprotein biosynthetic process (GO:0009101)	119	0	1.75	-	 < 0.01	4.25E-01
glycoprotein metabolic process (GO:0009100)	138	0	2.03	-	 < 0.01	2.74E-01
odontogenesis (GO:0042476)	2	0	0.03	-	 < 0.01	1.00E+00
odontogenesis of dentin-containing tooth (GO:0042475)	2	0	0.03	-	 < 0.01	1.00E+00
positive regulation of protein catabolic process (GO:0045732)	26	0	0.38	-	 < 0.01	1.00E+00
regulation of heart contraction (GO:0008016)	21	0	0.31	-	 < 0.01	1.00E+00
blood circulation (GO:0008015)	41	0	0.6	-	 < 0.01	1.00E+00
T cell activation (GO:0042110)	7	0	0.1	-	 < 0.01	1.00E+00
inner ear morphogenesis (GO:0042472)	2	0	0.03	-	 < 0.01	1.00E+00
chromosome localization (GO:0050000)	13	0	0.19	-	 < 0.01	1.00E+00
"vesicle targeting, trans-Golgi to periciliary membrane compartment (GO:0097712)"	1	0	0.01	-	 < 0.01	1.00E+00
protein localization to cilium (GO:0061512)	15	0	0.22	-	 < 0.01	1.00E+00
centriole elongation (GO:0061511)	1	0	0.01	-	 < 0.01	1.00E+00
antigen processing and presentation (GO:0019882)	3	0	0.04	-	 < 0.01	1.00E+00
sperm axoneme assembly (GO:0007288)	1	0	0.01	-	 < 0.01	1.00E+00
cardiolipin biosynthetic process (GO:0032049)	2	0	0.03	-	 < 0.01	1.00E+00
spermatid development (GO:0007286)	4	0	0.06	-	 < 0.01	1.00E+00
regulation of dephosphorylation (GO:0035303)	9	0	0.13	-	 < 0.01	1.00E+00
spermatogenesis (GO:0007283)	19	0	0.28	-	 < 0.01	1.00E+00
germ cell development (GO:0007281)	19	0	0.28	-	 < 0.01	1.00E+00
mitochondrial DNA metabolic process (GO:0032042)	4	0	0.06	-	 < 0.01	1.00E+00
negative regulation of G2/M transition of mitotic cell cycle (GO:0010972)	15	0	0.22	-	 < 0.01	1.00E+00
regulation of meiotic cell cycle (GO:0051445)	10	0	0.15	-	 < 0.01	1.00E+00
purine nucleotide catabolic process (GO:0006195)	21	0	0.31	-	 < 0.01	1.00E+00
positive regulation of translation (GO:0045727)	21	0	0.31	-	 < 0.01	1.00E+00
positive regulation of T cell proliferation (GO:0042102)	2	0	0.03	-	 < 0.01	1.00E+00
mitochondrial transmembrane transport (GO:1990542)	38	0	0.56	-	 < 0.01	1.00E+00
eye photoreceptor cell development (GO:0042462)	1	0	0.01	-	 < 0.01	1.00E+00
regulation of cell size (GO:0008361)	16	0	0.23	-	 < 0.01	1.00E+00
regulation of cell shape (GO:0008360)	29	0	0.43	-	 < 0.01	1.00E+00
regulation of natural killer cell mediated immunity (GO:0002715)	2	0	0.03	-	 < 0.01	1.00E+00
gamete generation (GO:0007276)	30	0	0.44	-	 < 0.01	1.00E+00
post-transcriptional regulation of gene expression (GO:0010608)	112	0	1.64	-	 < 0.01	4.16E-01
positive regulation of GTPase activity (GO:0043547)	52	0	0.76	-	 < 0.01	1.00E+00
negative regulation of macromolecule metabolic process (GO:0010605)	394	0	5.79	-	 < 0.01	4.72E-03
regulation of mitotic sister chromatid separation (GO:0010965)	15	0	0.22	-	 < 0.01	1.00E+00
negative regulation of signaling (GO:0023057)	168	0	2.47	-	 < 0.01	1.84E-01
DNA geometric change (GO:0032392)	12	0	0.18	-	 < 0.01	1.00E+00
protein acylation (GO:0043543)	29	0	0.43	-	 < 0.01	1.00E+00
endothelial cell migration (GO:0043542)	4	0	0.06	-	 < 0.01	1.00E+00
IMP biosynthetic process (GO:0006188)	6	0	0.09	-	 < 0.01	1.00E+00
regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090092)	35	0	0.51	-	 < 0.01	1.00E+00
negative regulation of canonical Wnt signaling pathway (GO:0090090)	18	0	0.26	-	 < 0.01	1.00E+00
lipid translocation (GO:0034204)	23	0	0.34	-	 < 0.01	1.00E+00
cGMP biosynthetic process (GO:0006182)	5	0	0.07	-	 < 0.01	1.00E+00
organelle disassembly (GO:1903008)	56	0	0.82	-	 < 0.01	1.00E+00
response to organic cyclic compound (GO:0014070)	28	0	0.41	-	 < 0.01	1.00E+00
negative regulation of macroautophagy (GO:0016242)	4	0	0.06	-	 < 0.01	1.00E+00
regulation of macroautophagy (GO:0016241)	15	0	0.22	-	 < 0.01	1.00E+00
regulation of lymphocyte mediated immunity (GO:0002706)	5	0	0.07	-	 < 0.01	1.00E+00
Rho protein signal transduction (GO:0007266)	27	0	0.4	-	 < 0.01	1.00E+00
regulation of response to endoplasmic reticulum stress (GO:1905897)	6	0	0.09	-	 < 0.01	1.00E+00
regulation of leukocyte mediated immunity (GO:0002703)	5	0	0.07	-	 < 0.01	1.00E+00
regulation of chromatin organization (GO:1902275)	4	0	0.06	-	 < 0.01	1.00E+00
positive regulation of insulin secretion (GO:0032024)	1	0	0.01	-	 < 0.01	1.00E+00
regulation of peptide transport (GO:0090087)	6	0	0.09	-	 < 0.01	1.00E+00
tyrosine phosphorylation of STAT protein (GO:0007260)	1	0	0.01	-	 < 0.01	1.00E+00
positive regulation of peptidase activity (GO:0010952)	20	0	0.29	-	 < 0.01	1.00E+00
negative regulation of endopeptidase activity (GO:0010951)	24	0	0.35	-	 < 0.01	1.00E+00
positive regulation of endopeptidase activity (GO:0010950)	19	0	0.28	-	 < 0.01	1.00E+00
negative regulation of nuclear division (GO:0051784)	13	0	0.19	-	 < 0.01	1.00E+00
replication fork processing (GO:0031297)	14	0	0.21	-	 < 0.01	1.00E+00
regulation of nuclear division (GO:0051783)	28	0	0.41	-	 < 0.01	1.00E+00
heterochromatin organization (GO:0070828)	27	0	0.4	-	 < 0.01	1.00E+00
regulation of ERBB signaling pathway (GO:1901184)	12	0	0.18	-	 < 0.01	1.00E+00
hormone biosynthetic process (GO:0042446)	1	0	0.01	-	 < 0.01	1.00E+00
positive regulation of cell division (GO:0051781)	3	0	0.04	-	 < 0.01	1.00E+00
mitochondrial respiratory chain complex III assembly (GO:0034551)	2	0	0.03	-	 < 0.01	1.00E+00
mitochondrial respiratory chain complex assembly (GO:0033108)	12	0	0.18	-	 < 0.01	1.00E+00
positive regulation of macroautophagy (GO:0016239)	10	0	0.15	-	 < 0.01	1.00E+00
pigment metabolic process (GO:0042440)	15	0	0.22	-	 < 0.01	1.00E+00
microautophagy (GO:0016237)	18	0	0.26	-	 < 0.01	1.00E+00
antimicrobial humoral immune response mediated by antimicrobial peptide (GO:0061844)	1	0	0.01	-	 < 0.01	1.00E+00
telomere capping (GO:0016233)	3	0	0.04	-	 < 0.01	1.00E+00
receptor signaling pathway via JAK-STAT (GO:0007259)	11	0	0.16	-	 < 0.01	1.00E+00
JNK cascade (GO:0007254)	6	0	0.09	-	 < 0.01	1.00E+00
negative regulation of cell cycle process (GO:0010948)	51	0	0.75	-	 < 0.01	1.00E+00
positive regulation of protein serine/threonine kinase activity (GO:0071902)	12	0	0.18	-	 < 0.01	1.00E+00
regulation of protein serine/threonine kinase activity (GO:0071900)	51	0	0.75	-	 < 0.01	1.00E+00
purine nucleotide biosynthetic process (GO:0006164)	49	0	0.72	-	 < 0.01	1.00E+00
purine nucleotide metabolic process (GO:0006163)	100	0	1.47	-	 < 0.01	4.08E-01
positive regulation of cytokine-mediated signaling pathway (GO:0001961)	3	0	0.04	-	 < 0.01	1.00E+00
positive regulation of cyclase activity (GO:0031281)	9	0	0.13	-	 < 0.01	1.00E+00
acetylcholine receptor signaling pathway (GO:0095500)	25	0	0.37	-	 < 0.01	1.00E+00
snRNA transcription by RNA polymerase II (GO:0042795)	7	0	0.1	-	 < 0.01	1.00E+00
negative regulation of cyclase activity (GO:0031280)	2	0	0.03	-	 < 0.01	1.00E+00
collagen fibril organization (GO:0030199)	11	0	0.16	-	 < 0.01	1.00E+00
iron-sulfur cluster assembly (GO:0016226)	11	0	0.16	-	 < 0.01	1.00E+00
nucleolar large rRNA transcription by RNA polymerase I (GO:0042790)	6	0	0.09	-	 < 0.01	1.00E+00
negative regulation of blood coagulation (GO:0030195)	4	0	0.06	-	 < 0.01	1.00E+00
canonical NF-kappaB signal transduction (GO:0007249)	5	0	0.07	-	 < 0.01	1.00E+00
positive regulation of TOR signaling (GO:0032008)	15	0	0.22	-	 < 0.01	1.00E+00
negative regulation of TOR signaling (GO:0032007)	11	0	0.16	-	 < 0.01	1.00E+00
non-motile cilium assembly (GO:1905515)	16	0	0.23	-	 < 0.01	1.00E+00
regulation of TOR signaling (GO:0032006)	29	0	0.43	-	 < 0.01	1.00E+00
intracellular cholesterol transport (GO:0032367)	1	0	0.01	-	 < 0.01	1.00E+00
intracellular sterol transport (GO:0032366)	4	0	0.06	-	 < 0.01	1.00E+00
intracellular lipid transport (GO:0032365)	6	0	0.09	-	 < 0.01	1.00E+00
positive regulation of cell cycle process (GO:0090068)	26	0	0.38	-	 < 0.01	1.00E+00
regulation of anatomical structure size (GO:0090066)	73	0	1.07	-	 < 0.01	6.30E-01
response to light stimulus (GO:0009416)	26	0	0.38	-	 < 0.01	1.00E+00
regulation of cyclase activity (GO:0031279)	12	0	0.18	-	 < 0.01	1.00E+00
neuron apoptotic process (GO:0051402)	4	0	0.06	-	 < 0.01	1.00E+00
response to UV (GO:0009411)	9	0	0.13	-	 < 0.01	1.00E+00
purine nucleoside catabolic process (GO:0006152)	3	0	0.04	-	 < 0.01	1.00E+00
regulation of cell-matrix adhesion (GO:0001952)	4	0	0.06	-	 < 0.01	1.00E+00
positive regulation of epithelial cell proliferation (GO:0050679)	7	0	0.1	-	 < 0.01	1.00E+00
protein deubiquitination (GO:0016579)	56	0	0.82	-	 < 0.01	1.00E+00
tRNA 3'-end processing (GO:0042780)	1	0	0.01	-	 < 0.01	1.00E+00
epithelial cell proliferation (GO:0050673)	2	0	0.03	-	 < 0.01	1.00E+00
regulation of lymphocyte proliferation (GO:0050670)	5	0	0.07	-	 < 0.01	1.00E+00
hemostasis (GO:0007599)	9	0	0.13	-	 < 0.01	1.00E+00
blood coagulation (GO:0007596)	9	0	0.13	-	 < 0.01	1.00E+00
developmental pigmentation (GO:0048066)	8	0	0.12	-	 < 0.01	1.00E+00
response to cold (GO:0009409)	1	0	0.01	-	 < 0.01	1.00E+00
response to heat (GO:0009408)	11	0	0.16	-	 < 0.01	1.00E+00
regulation of phosphatase activity (GO:0010921)	6	0	0.09	-	 < 0.01	1.00E+00
purine nucleobase metabolic process (GO:0006144)	11	0	0.16	-	 < 0.01	1.00E+00
vasculature development (GO:0001944)	40	0	0.59	-	 < 0.01	1.00E+00
mitochondrial ATP synthesis coupled electron transport (GO:0042775)	6	0	0.09	-	 < 0.01	1.00E+00
ATP synthesis coupled electron transport (GO:0042773)	6	0	0.09	-	 < 0.01	1.00E+00
negative regulation of Wnt signaling pathway (GO:0030178)	31	0	0.46	-	 < 0.01	1.00E+00
intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator (GO:0042771)	4	0	0.06	-	 < 0.01	1.00E+00
positive regulation of Wnt signaling pathway (GO:0030177)	23	0	0.34	-	 < 0.01	1.00E+00
signal transduction in response to DNA damage (GO:0042770)	22	0	0.32	-	 < 0.01	1.00E+00
smoothened signaling pathway (GO:0007224)	18	0	0.26	-	 < 0.01	1.00E+00
digestion (GO:0007586)	2	0	0.03	-	 < 0.01	1.00E+00
cellular response to topologically incorrect protein (GO:0035967)	27	0	0.4	-	 < 0.01	1.00E+00
response to topologically incorrect protein (GO:0035966)	27	0	0.4	-	 < 0.01	1.00E+00
protein lipidation (GO:0006497)	56	0	0.82	-	 < 0.01	1.00E+00
hormone-mediated signaling pathway (GO:0009755)	25	0	0.37	-	 < 0.01	1.00E+00
endothelial cell proliferation (GO:0001935)	2	0	0.03	-	 < 0.01	1.00E+00
negative regulation of protein phosphorylation (GO:0001933)	33	0	0.48	-	 < 0.01	1.00E+00
protein O-linked glycosylation (GO:0006493)	40	0	0.59	-	 < 0.01	1.00E+00
RNA transport (GO:0050658)	41	0	0.6	-	 < 0.01	1.00E+00
nucleic acid transport (GO:0050657)	41	0	0.6	-	 < 0.01	1.00E+00
platelet activation (GO:0030168)	6	0	0.09	-	 < 0.01	1.00E+00
protein import into peroxisome matrix (GO:0016558)	11	0	0.16	-	 < 0.01	1.00E+00
positive regulation of mRNA metabolic process (GO:1903313)	35	0	0.51	-	 < 0.01	1.00E+00
proteoglycan biosynthetic process (GO:0030166)	25	0	0.37	-	 < 0.01	1.00E+00
isoprenoid catabolic process (GO:0008300)	4	0	0.06	-	 < 0.01	1.00E+00
mRNA modification (GO:0016556)	8	0	0.12	-	 < 0.01	1.00E+00
chondroitin sulfate proteoglycan biosynthetic process (GO:0050650)	12	0	0.18	-	 < 0.01	1.00E+00
Notch signaling pathway (GO:0007219)	22	0	0.32	-	 < 0.01	1.00E+00
neuropeptide signaling pathway (GO:0007218)	34	0	0.5	-	 < 0.01	1.00E+00
regulation of proteolysis (GO:0030162)	82	0	1.2	-	 < 0.01	6.36E-01
glutamate receptor signaling pathway (GO:0007215)	12	0	0.18	-	 < 0.01	1.00E+00
dopamine receptor signaling pathway (GO:0007212)	6	0	0.09	-	 < 0.01	1.00E+00
response to glucose (GO:0009749)	4	0	0.06	-	 < 0.01	1.00E+00
protein N-linked glycosylation (GO:0006487)	36	0	0.53	-	 < 0.01	1.00E+00
carbohydrate derivative biosynthetic process (GO:1901137)	216	0	3.17	-	 < 0.01	8.01E-02
protein glycosylation (GO:0006486)	92	0	1.35	-	 < 0.01	6.48E-01
carbohydrate derivative catabolic process (GO:1901136)	60	0	0.88	-	 < 0.01	1.00E+00
carbohydrate derivative metabolic process (GO:1901135)	325	0	4.77	-	 < 0.01	1.62E-02
"mitochondrial electron transport, succinate to ubiquinone (GO:0006121)"	1	0	0.01	-	 < 0.01	1.00E+00
"mitochondrial electron transport, NADH to ubiquinone (GO:0006120)"	3	0	0.04	-	 < 0.01	1.00E+00
protein localization to kinetochore (GO:0034501)	5	0	0.07	-	 < 0.01	1.00E+00
regulation of circadian rhythm (GO:0042752)	8	0	0.12	-	 < 0.01	1.00E+00
amino acid biosynthetic process (GO:0008652)	25	0	0.37	-	 < 0.01	1.00E+00
protein import into mitochondrial matrix (GO:0030150)	10	0	0.15	-	 < 0.01	1.00E+00
oxidative phosphorylation (GO:0006119)	6	0	0.09	-	 < 0.01	1.00E+00
regulation of cell cycle (GO:0051726)	153	0	2.25	-	 < 0.01	1.78E-01
energy reserve metabolic process (GO:0006112)	6	0	0.09	-	 < 0.01	1.00E+00
protein acetylation (GO:0006473)	6	0	0.09	-	 < 0.01	1.00E+00
regulation of leukocyte mediated cytotoxicity (GO:0001910)	2	0	0.03	-	 < 0.01	1.00E+00
protein dephosphorylation (GO:0006470)	50	0	0.73	-	 < 0.01	1.00E+00
sphingolipid catabolic process (GO:0030149)	12	0	0.18	-	 < 0.01	1.00E+00
defense response to bacterium (GO:0042742)	5	0	0.07	-	 < 0.01	1.00E+00
negative regulation of protein kinase activity (GO:0006469)	31	0	0.46	-	 < 0.01	1.00E+00
signal peptide processing (GO:0006465)	5	0	0.07	-	 < 0.01	1.00E+00
apoptotic mitochondrial changes (GO:0008637)	10	0	0.15	-	 < 0.01	1.00E+00
proteinogenic amino acid metabolic process (GO:0170039)	43	0	0.63	-	 < 0.01	1.00E+00
proteinogenic amino acid biosynthetic process (GO:0170038)	23	0	0.34	-	 < 0.01	1.00E+00
negative regulation of angiogenesis (GO:0016525)	8	0	0.12	-	 < 0.01	1.00E+00
detection of mechanical stimulus (GO:0050982)	9	0	0.13	-	 < 0.01	1.00E+00
intrinsic apoptotic signaling pathway in response to DNA damage (GO:0008630)	13	0	0.19	-	 < 0.01	1.00E+00
L-amino acid biosynthetic process (GO:0170034)	23	0	0.34	-	 < 0.01	1.00E+00
L-amino acid metabolic process (GO:0170033)	52	0	0.76	-	 < 0.01	1.00E+00
negative regulation of chromosome separation (GO:1905819)	9	0	0.13	-	 < 0.01	1.00E+00
sex differentiation (GO:0007548)	7	0	0.1	-	 < 0.01	1.00E+00
regulation of chromosome separation (GO:1905818)	15	0	0.22	-	 < 0.01	1.00E+00
maturation of SSU-rRNA (GO:0030490)	28	0	0.41	-	 < 0.01	1.00E+00
'de novo' protein folding (GO:0006458)	9	0	0.13	-	 < 0.01	1.00E+00
protein folding (GO:0006457)	102	0	1.5	-	 < 0.01	4.09E-01
vascular endothelial growth factor receptor signaling pathway (GO:0048010)	9	0	0.13	-	 < 0.01	1.00E+00
biological process involved in interaction with host (GO:0051701)	1	0	0.01	-	 < 0.01	1.00E+00
RNA decapping (GO:0110154)	9	0	0.13	-	 < 0.01	1.00E+00
biomineral tissue development (GO:0031214)	4	0	0.06	-	 < 0.01	1.00E+00
mitotic intra-S DNA damage checkpoint signaling (GO:0031573)	4	0	0.06	-	 < 0.01	1.00E+00
DNA integrity checkpoint signaling (GO:0031570)	25	0	0.37	-	 < 0.01	1.00E+00
extrinsic apoptotic signaling pathway via death domain receptors (GO:0008625)	3	0	0.04	-	 < 0.01	1.00E+00
tRNA methylation (GO:0030488)	21	0	0.31	-	 < 0.01	1.00E+00
