PANTHER GO-Slim Biological Process	background_genelist.full.txt - REFLIST (12431)	intersection.fst.csv (60)	intersection.fst.csv (expected)	intersection.fst.csv (over/under)	intersection.fst.csv (fold Enrichment)	P-value
negative regulation of TOR signaling (GO:0032007)	11	0	0.05	-	 < 0.01	1.00E+00
non-motile cilium assembly (GO:1905515)	16	0	0.08	-	 < 0.01	1.00E+00
regulation of TOR signaling (GO:0032006)	28	0	0.14	-	 < 0.01	1.00E+00
intracellular cholesterol transport (GO:0032367)	1	0	0	-	 < 0.01	1.00E+00
intracellular sterol transport (GO:0032366)	4	0	0.02	-	 < 0.01	1.00E+00
intracellular lipid transport (GO:0032365)	6	0	0.03	-	 < 0.01	1.00E+00
positive regulation of cell cycle process (GO:0090068)	25	0	0.12	-	 < 0.01	1.00E+00
response to light stimulus (GO:0009416)	26	0	0.13	-	 < 0.01	1.00E+00
regulation of cyclase activity (GO:0031279)	12	0	0.06	-	 < 0.01	1.00E+00
neuron apoptotic process (GO:0051402)	4	0	0.02	-	 < 0.01	1.00E+00
response to UV (GO:0009411)	9	0	0.04	-	 < 0.01	1.00E+00
purine nucleoside catabolic process (GO:0006152)	3	0	0.01	-	 < 0.01	1.00E+00
regulation of cell-matrix adhesion (GO:0001952)	4	0	0.02	-	 < 0.01	1.00E+00
positive regulation of epithelial cell proliferation (GO:0050679)	7	0	0.03	-	 < 0.01	1.00E+00
protein deubiquitination (GO:0016579)	56	0	0.27	-	 < 0.01	1.00E+00
tRNA 3'-end processing (GO:0042780)	1	0	0	-	 < 0.01	1.00E+00
epithelial cell proliferation (GO:0050673)	2	0	0.01	-	 < 0.01	1.00E+00
regulation of lymphocyte proliferation (GO:0050670)	5	0	0.02	-	 < 0.01	1.00E+00
B cell differentiation (GO:0030183)	4	0	0.02	-	 < 0.01	1.00E+00
hemostasis (GO:0007599)	9	0	0.04	-	 < 0.01	1.00E+00
blood coagulation (GO:0007596)	9	0	0.04	-	 < 0.01	1.00E+00
cellular component assembly involved in morphogenesis (GO:0010927)	26	0	0.13	-	 < 0.01	1.00E+00
developmental pigmentation (GO:0048066)	8	0	0.04	-	 < 0.01	1.00E+00
response to cold (GO:0009409)	1	0	0	-	 < 0.01	1.00E+00
response to heat (GO:0009408)	11	0	0.05	-	 < 0.01	1.00E+00
regulation of phosphatase activity (GO:0010921)	6	0	0.03	-	 < 0.01	1.00E+00
purine nucleobase metabolic process (GO:0006144)	11	0	0.05	-	 < 0.01	1.00E+00
neural crest cell differentiation (GO:0014033)	30	0	0.14	-	 < 0.01	1.00E+00
neural crest cell development (GO:0014032)	30	0	0.14	-	 < 0.01	1.00E+00
mitochondrial ATP synthesis coupled electron transport (GO:0042775)	6	0	0.03	-	 < 0.01	1.00E+00
ATP synthesis coupled electron transport (GO:0042773)	6	0	0.03	-	 < 0.01	1.00E+00
negative regulation of Wnt signaling pathway (GO:0030178)	31	0	0.15	-	 < 0.01	1.00E+00
intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator (GO:0042771)	4	0	0.02	-	 < 0.01	1.00E+00
positive regulation of Wnt signaling pathway (GO:0030177)	23	0	0.11	-	 < 0.01	1.00E+00
signal transduction in response to DNA damage (GO:0042770)	22	0	0.11	-	 < 0.01	1.00E+00
protein ubiquitination (GO:0016567)	171	0	0.83	-	 < 0.01	1.00E+00
integrin-mediated signaling pathway (GO:0007229)	28	0	0.14	-	 < 0.01	1.00E+00
smoothened signaling pathway (GO:0007224)	18	0	0.09	-	 < 0.01	1.00E+00
digestion (GO:0007586)	1	0	0	-	 < 0.01	1.00E+00
cellular response to topologically incorrect protein (GO:0035967)	27	0	0.13	-	 < 0.01	1.00E+00
response to topologically incorrect protein (GO:0035966)	27	0	0.13	-	 < 0.01	1.00E+00
protein lipidation (GO:0006497)	55	0	0.27	-	 < 0.01	1.00E+00
hormone-mediated signaling pathway (GO:0009755)	25	0	0.12	-	 < 0.01	1.00E+00
endothelial cell proliferation (GO:0001935)	2	0	0.01	-	 < 0.01	1.00E+00
positive regulation of protein phosphorylation (GO:0001934)	76	0	0.37	-	 < 0.01	1.00E+00
negative regulation of protein phosphorylation (GO:0001933)	33	0	0.16	-	 < 0.01	1.00E+00
regulation of protein phosphorylation (GO:0001932)	134	0	0.65	-	 < 0.01	1.00E+00
protein O-linked glycosylation (GO:0006493)	40	0	0.19	-	 < 0.01	1.00E+00
RNA transport (GO:0050658)	41	0	0.2	-	 < 0.01	1.00E+00
nucleic acid transport (GO:0050657)	41	0	0.2	-	 < 0.01	1.00E+00
platelet activation (GO:0030168)	6	0	0.03	-	 < 0.01	1.00E+00
protein import into peroxisome matrix (GO:0016558)	11	0	0.05	-	 < 0.01	1.00E+00
positive regulation of mRNA metabolic process (GO:1903313)	34	0	0.16	-	 < 0.01	1.00E+00
proteoglycan biosynthetic process (GO:0030166)	25	0	0.12	-	 < 0.01	1.00E+00
isoprenoid catabolic process (GO:0008300)	4	0	0.02	-	 < 0.01	1.00E+00
mRNA modification (GO:0016556)	8	0	0.04	-	 < 0.01	1.00E+00
regulation of mRNA metabolic process (GO:1903311)	88	0	0.42	-	 < 0.01	1.00E+00
chondroitin sulfate proteoglycan biosynthetic process (GO:0050650)	12	0	0.06	-	 < 0.01	1.00E+00
Notch signaling pathway (GO:0007219)	21	0	0.1	-	 < 0.01	1.00E+00
protein catabolic process (GO:0030163)	275	0	1.33	-	 < 0.01	6.45E-01
neuropeptide signaling pathway (GO:0007218)	33	0	0.16	-	 < 0.01	1.00E+00
regulation of proteolysis (GO:0030162)	82	0	0.4	-	 < 0.01	1.00E+00
glutamate receptor signaling pathway (GO:0007215)	11	0	0.05	-	 < 0.01	1.00E+00
dopamine receptor signaling pathway (GO:0007212)	6	0	0.03	-	 < 0.01	1.00E+00
response to glucose (GO:0009749)	4	0	0.02	-	 < 0.01	1.00E+00
carbohydrate derivative catabolic process (GO:1901136)	60	0	0.29	-	 < 0.01	1.00E+00
protein localization to nucleus (GO:0034504)	47	0	0.23	-	 < 0.01	1.00E+00
"mitochondrial electron transport, succinate to ubiquinone (GO:0006121)"	1	0	0	-	 < 0.01	1.00E+00
"mitochondrial electron transport, NADH to ubiquinone (GO:0006120)"	3	0	0.01	-	 < 0.01	1.00E+00
protein localization to kinetochore (GO:0034501)	5	0	0.02	-	 < 0.01	1.00E+00
regulation of circadian rhythm (GO:0042752)	8	0	0.04	-	 < 0.01	1.00E+00
amino acid biosynthetic process (GO:0008652)	25	0	0.12	-	 < 0.01	1.00E+00
regulation of cell adhesion (GO:0030155)	44	0	0.21	-	 < 0.01	1.00E+00
protein import into mitochondrial matrix (GO:0030150)	9	0	0.04	-	 < 0.01	1.00E+00
alanine transport (GO:0032328)	3	0	0.01	-	 < 0.01	1.00E+00
phospholipase C-activating G protein-coupled receptor signaling pathway (GO:0007200)	27	0	0.13	-	 < 0.01	1.00E+00
oxidative phosphorylation (GO:0006119)	6	0	0.03	-	 < 0.01	1.00E+00
regulation of cell cycle (GO:0051726)	149	0	0.72	-	 < 0.01	1.00E+00
energy reserve metabolic process (GO:0006112)	6	0	0.03	-	 < 0.01	1.00E+00
protein acetylation (GO:0006473)	5	0	0.02	-	 < 0.01	1.00E+00
regulation of leukocyte mediated cytotoxicity (GO:0001910)	2	0	0.01	-	 < 0.01	1.00E+00
protein dephosphorylation (GO:0006470)	49	0	0.24	-	 < 0.01	1.00E+00
sphingolipid catabolic process (GO:0030149)	11	0	0.05	-	 < 0.01	1.00E+00
defense response to bacterium (GO:0042742)	5	0	0.02	-	 < 0.01	1.00E+00
sphingolipid biosynthetic process (GO:0030148)	41	0	0.2	-	 < 0.01	1.00E+00
carbohydrate transport (GO:0008643)	10	0	0.05	-	 < 0.01	1.00E+00
"regulation of mRNA splicing, via spliceosome (GO:0048024)"	31	0	0.15	-	 < 0.01	1.00E+00
negative regulation of protein kinase activity (GO:0006469)	31	0	0.15	-	 < 0.01	1.00E+00
response to hormone (GO:0009725)	88	0	0.42	-	 < 0.01	1.00E+00
cell-substrate adhesion (GO:0031589)	46	0	0.22	-	 < 0.01	1.00E+00
signal peptide processing (GO:0006465)	5	0	0.02	-	 < 0.01	1.00E+00
proteinogenic amino acid metabolic process (GO:0170039)	43	0	0.21	-	 < 0.01	1.00E+00
proteinogenic amino acid biosynthetic process (GO:0170038)	23	0	0.11	-	 < 0.01	1.00E+00
negative regulation of angiogenesis (GO:0016525)	8	0	0.04	-	 < 0.01	1.00E+00
detection of mechanical stimulus (GO:0050982)	9	0	0.04	-	 < 0.01	1.00E+00
intrinsic apoptotic signaling pathway in response to DNA damage (GO:0008630)	12	0	0.06	-	 < 0.01	1.00E+00
L-amino acid biosynthetic process (GO:0170034)	23	0	0.11	-	 < 0.01	1.00E+00
L-amino acid metabolic process (GO:0170033)	52	0	0.25	-	 < 0.01	1.00E+00
negative regulation of chromosome separation (GO:1905819)	9	0	0.04	-	 < 0.01	1.00E+00
sex differentiation (GO:0007548)	7	0	0.03	-	 < 0.01	1.00E+00
regulation of chromosome separation (GO:1905818)	15	0	0.07	-	 < 0.01	1.00E+00
maturation of SSU-rRNA (GO:0030490)	28	0	0.14	-	 < 0.01	1.00E+00
response to endogenous stimulus (GO:0009719)	192	0	0.93	-	 < 0.01	1.00E+00
response to other organism (GO:0051707)	43	0	0.21	-	 < 0.01	1.00E+00
'de novo' protein folding (GO:0006458)	9	0	0.04	-	 < 0.01	1.00E+00
protein folding (GO:0006457)	102	0	0.49	-	 < 0.01	1.00E+00
vascular endothelial growth factor receptor signaling pathway (GO:0048010)	9	0	0.04	-	 < 0.01	1.00E+00
biological process involved in interaction with host (GO:0051701)	1	0	0	-	 < 0.01	1.00E+00
RNA decapping (GO:0110154)	9	0	0.04	-	 < 0.01	1.00E+00
biomineral tissue development (GO:0031214)	4	0	0.02	-	 < 0.01	1.00E+00
mitotic intra-S DNA damage checkpoint signaling (GO:0031573)	4	0	0.02	-	 < 0.01	1.00E+00
DNA integrity checkpoint signaling (GO:0031570)	25	0	0.12	-	 < 0.01	1.00E+00
extrinsic apoptotic signaling pathway via death domain receptors (GO:0008625)	3	0	0.01	-	 < 0.01	1.00E+00
tRNA methylation (GO:0030488)	20	0	0.1	-	 < 0.01	1.00E+00
insulin-like growth factor receptor signaling pathway (GO:0048009)	5	0	0.02	-	 < 0.01	1.00E+00
regulation of translational initiation (GO:0006446)	14	0	0.07	-	 < 0.01	1.00E+00
nucleotide-sugar transmembrane transport (GO:0015780)	6	0	0.03	-	 < 0.01	1.00E+00
"post-translational protein targeting to membrane, translocation (GO:0031204)"	5	0	0.02	-	 < 0.01	1.00E+00
tRNA wobble uridine modification (GO:0002098)	5	0	0.02	-	 < 0.01	1.00E+00
regulation of Wnt signaling pathway (GO:0030111)	59	0	0.28	-	 < 0.01	1.00E+00
neuromuscular junction development (GO:0007528)	9	0	0.04	-	 < 0.01	1.00E+00
positive regulation of intracellular signal transduction (GO:1902533)	137	0	0.66	-	 < 0.01	1.00E+00
negative regulation of intracellular signal transduction (GO:1902532)	60	0	0.29	-	 < 0.01	1.00E+00
regulation of intracellular signal transduction (GO:1902531)	255	0	1.23	-	 < 0.01	6.37E-01
attachment of spindle microtubules to kinetochore (GO:0008608)	7	0	0.03	-	 < 0.01	1.00E+00
sulfur compound metabolic process (GO:0006790)	75	0	0.36	-	 < 0.01	1.00E+00
lens development in camera-type eye (GO:0002088)	18	0	0.09	-	 < 0.01	1.00E+00
organelle transport along microtubule (GO:0072384)	26	0	0.13	-	 < 0.01	1.00E+00
sensory perception of mechanical stimulus (GO:0050954)	12	0	0.06	-	 < 0.01	1.00E+00
regulation of endocytosis (GO:0030100)	20	0	0.1	-	 < 0.01	1.00E+00
positive regulation of innate immune response (GO:0045089)	18	0	0.09	-	 < 0.01	1.00E+00
positive regulation of cysteine-type endopeptidase activity (GO:2001056)	17	0	0.08	-	 < 0.01	1.00E+00
innate immune response (GO:0045087)	27	0	0.13	-	 < 0.01	1.00E+00
negative regulation of proteasomal protein catabolic process (GO:1901799)	5	0	0.02	-	 < 0.01	1.00E+00
heme biosynthetic process (GO:0006783)	7	0	0.03	-	 < 0.01	1.00E+00
protein activation cascade (GO:0072376)	5	0	0.02	-	 < 0.01	1.00E+00
alcohol biosynthetic process (GO:0046165)	32	0	0.15	-	 < 0.01	1.00E+00
heart development (GO:0007507)	50	0	0.24	-	 < 0.01	1.00E+00
protein-containing complex disassembly (GO:0032984)	46	0	0.22	-	 < 0.01	1.00E+00
regulation of translation (GO:0006417)	53	0	0.26	-	 < 0.01	1.00E+00
mitochondrial respiratory chain complex I assembly (GO:0032981)	7	0	0.03	-	 < 0.01	1.00E+00
mesoderm morphogenesis (GO:0048332)	7	0	0.03	-	 < 0.01	1.00E+00
porphyrin-containing compound metabolic process (GO:0006778)	12	0	0.06	-	 < 0.01	1.00E+00
translational termination (GO:0006415)	3	0	0.01	-	 < 0.01	1.00E+00
translational elongation (GO:0006414)	24	0	0.12	-	 < 0.01	1.00E+00
translational initiation (GO:0006413)	26	0	0.13	-	 < 0.01	1.00E+00
translation (GO:0006412)	129	0	0.62	-	 < 0.01	1.00E+00
chromosome organization involved in meiotic cell cycle (GO:0070192)	11	0	0.05	-	 < 0.01	1.00E+00
regulation of complement activation (GO:0030449)	1	0	0	-	 < 0.01	1.00E+00
organophosphate ester transport (GO:0015748)	49	0	0.24	-	 < 0.01	1.00E+00
citrate transport (GO:0015746)	4	0	0.02	-	 < 0.01	1.00E+00
succinate transport (GO:0015744)	3	0	0.01	-	 < 0.01	1.00E+00
regulation of actin filament-based process (GO:0032970)	87	0	0.42	-	 < 0.01	1.00E+00
mRNA export from nucleus (GO:0006406)	28	0	0.14	-	 < 0.01	1.00E+00
C4-dicarboxylate transport (GO:0015740)	13	0	0.06	-	 < 0.01	1.00E+00
RNA export from nucleus (GO:0006405)	36	0	0.17	-	 < 0.01	1.00E+00
RNA localization (GO:0006403)	44	0	0.21	-	 < 0.01	1.00E+00
mRNA catabolic process (GO:0006402)	51	0	0.25	-	 < 0.01	1.00E+00
RNA catabolic process (GO:0006401)	55	0	0.27	-	 < 0.01	1.00E+00
folic acid-containing compound metabolic process (GO:0006760)	13	0	0.06	-	 < 0.01	1.00E+00
pigment biosynthetic process (GO:0046148)	12	0	0.06	-	 < 0.01	1.00E+00
positive regulation of chemotaxis (GO:0050921)	7	0	0.03	-	 < 0.01	1.00E+00
regulation of chemotaxis (GO:0050920)	7	0	0.03	-	 < 0.01	1.00E+00
positive regulation of transcription elongation by RNA polymerase II (GO:0032968)	7	0	0.03	-	 < 0.01	1.00E+00
mitotic spindle assembly (GO:0090307)	13	0	0.06	-	 < 0.01	1.00E+00
regulated exocytosis (GO:0045055)	34	0	0.16	-	 < 0.01	1.00E+00
axon extension (GO:0048675)	2	0	0.01	-	 < 0.01	1.00E+00
microtubule cytoskeleton organization involved in mitosis (GO:1902850)	43	0	0.21	-	 < 0.01	1.00E+00
ATP biosynthetic process (GO:0006754)	1	0	0	-	 < 0.01	1.00E+00
nucleoside phosphate metabolic process (GO:0006753)	123	0	0.59	-	 < 0.01	1.00E+00
regulation of membrane lipid distribution (GO:0097035)	26	0	0.13	-	 < 0.01	1.00E+00
positive chemotaxis (GO:0050918)	3	0	0.01	-	 < 0.01	1.00E+00
regulation of transmembrane transporter activity (GO:0022898)	42	0	0.2	-	 < 0.01	1.00E+00
sensory perception of bitter taste (GO:0050913)	1	0	0	-	 < 0.01	1.00E+00
detection of chemical stimulus involved in sensory perception of taste (GO:0050912)	1	0	0	-	 < 0.01	1.00E+00
"chemical synaptic transmission, postsynaptic (GO:0099565)"	4	0	0.02	-	 < 0.01	1.00E+00
nicotinamide nucleotide metabolic process (GO:0046496)	35	0	0.17	-	 < 0.01	1.00E+00
sprouting angiogenesis (GO:0002040)	8	0	0.04	-	 < 0.01	1.00E+00
synaptic membrane adhesion (GO:0099560)	6	0	0.03	-	 < 0.01	1.00E+00
regulation of actin cytoskeleton organization (GO:0032956)	86	0	0.42	-	 < 0.01	1.00E+00
protein insertion into ER membrane (GO:0045048)	4	0	0.02	-	 < 0.01	1.00E+00
protein targeting to ER (GO:0045047)	14	0	0.07	-	 < 0.01	1.00E+00
glutathione metabolic process (GO:0006749)	14	0	0.07	-	 < 0.01	1.00E+00
bile acid and bile salt transport (GO:0015721)	5	0	0.02	-	 < 0.01	1.00E+00
heterochromatin formation (GO:0031507)	22	0	0.11	-	 < 0.01	1.00E+00
protein-containing complex localization (GO:0031503)	57	0	0.28	-	 < 0.01	1.00E+00
sensory perception of taste (GO:0050909)	2	0	0.01	-	 < 0.01	1.00E+00
detection of chemical stimulus involved in sensory perception (GO:0050907)	2	0	0.01	-	 < 0.01	1.00E+00
detection of stimulus involved in sensory perception (GO:0050906)	7	0	0.03	-	 < 0.01	1.00E+00
intrinsic apoptotic signaling pathway by p53 class mediator (GO:0072332)	6	0	0.03	-	 < 0.01	1.00E+00
signal transduction by p53 class mediator (GO:0072331)	7	0	0.03	-	 < 0.01	1.00E+00
monocarboxylic acid biosynthetic process (GO:0072330)	28	0	0.14	-	 < 0.01	1.00E+00
leukocyte migration (GO:0050900)	8	0	0.04	-	 < 0.01	1.00E+00
monocarboxylic acid transport (GO:0015718)	35	0	0.17	-	 < 0.01	1.00E+00
protein insertion into mitochondrial inner membrane (GO:0045039)	3	0	0.01	-	 < 0.01	1.00E+00
regulation of mononuclear cell proliferation (GO:0032944)	5	0	0.02	-	 < 0.01	1.00E+00
mononuclear cell proliferation (GO:0032943)	1	0	0	-	 < 0.01	1.00E+00
NADP metabolic process (GO:0006739)	6	0	0.03	-	 < 0.01	1.00E+00
organic anion transport (GO:0015711)	134	0	0.65	-	 < 0.01	1.00E+00
monocarboxylic acid catabolic process (GO:0072329)	36	0	0.17	-	 < 0.01	1.00E+00
regulation of sodium ion transport (GO:0002028)	22	0	0.11	-	 < 0.01	1.00E+00
glycerophospholipid catabolic process (GO:0046475)	8	0	0.04	-	 < 0.01	1.00E+00
phosphatidylcholine metabolic process (GO:0046470)	7	0	0.03	-	 < 0.01	1.00E+00
SREBP signaling pathway (GO:0032933)	6	0	0.03	-	 < 0.01	1.00E+00
early endosome to late endosome transport (GO:0045022)	4	0	0.02	-	 < 0.01	1.00E+00
activation of GTPase activity (GO:0090630)	36	0	0.17	-	 < 0.01	1.00E+00
terpenoid metabolic process (GO:0006721)	13	0	0.06	-	 < 0.01	1.00E+00
isoprenoid metabolic process (GO:0006720)	21	0	0.1	-	 < 0.01	1.00E+00
lymphocyte migration (GO:0072676)	2	0	0.01	-	 < 0.01	1.00E+00
immune system process (GO:0002376)	115	0	0.56	-	 < 0.01	1.00E+00
regulation of postsynaptic membrane potential (GO:0060078)	11	0	0.05	-	 < 0.01	1.00E+00
membrane lipid biosynthetic process (GO:0046467)	60	0	0.29	-	 < 0.01	1.00E+00
acylglycerol catabolic process (GO:0046464)	9	0	0.04	-	 < 0.01	1.00E+00
cellular response to lipopolysaccharide (GO:0071222)	9	0	0.04	-	 < 0.01	1.00E+00
neutral lipid catabolic process (GO:0046461)	9	0	0.04	-	 < 0.01	1.00E+00
activin receptor signaling pathway (GO:0032924)	4	0	0.02	-	 < 0.01	1.00E+00
positive regulation of developmental process (GO:0051094)	78	0	0.38	-	 < 0.01	1.00E+00
circadian regulation of gene expression (GO:0032922)	20	0	0.1	-	 < 0.01	1.00E+00
positive regulation of NF-kappaB transcription factor activity (GO:0051092)	11	0	0.05	-	 < 0.01	1.00E+00
positive regulation of DNA-binding transcription factor activity (GO:0051091)	17	0	0.08	-	 < 0.01	1.00E+00
regulation of DNA-binding transcription factor activity (GO:0051090)	25	0	0.12	-	 < 0.01	1.00E+00
mRNA destabilization (GO:0061157)	27	0	0.13	-	 < 0.01	1.00E+00
morphogenesis of an epithelium (GO:0002009)	13	0	0.06	-	 < 0.01	1.00E+00
establishment of protein localization to vacuole (GO:0072666)	24	0	0.12	-	 < 0.01	1.00E+00
autophagosome maturation (GO:0097352)	10	0	0.05	-	 < 0.01	1.00E+00
protein localization to vacuole (GO:0072665)	26	0	0.13	-	 < 0.01	1.00E+00
small molecule catabolic process (GO:0044282)	92	0	0.44	-	 < 0.01	1.00E+00
leukocyte activation involved in immune response (GO:0002366)	4	0	0.02	-	 < 0.01	1.00E+00
TORC2 signaling (GO:0038203)	5	0	0.02	-	 < 0.01	1.00E+00
cellular response to molecule of bacterial origin (GO:0071219)	9	0	0.04	-	 < 0.01	1.00E+00
TORC1 signaling (GO:0038202)	1	0	0	-	 < 0.01	1.00E+00
endomembrane system organization (GO:0010256)	116	0	0.56	-	 < 0.01	1.00E+00
icosanoid biosynthetic process (GO:0046456)	7	0	0.03	-	 < 0.01	1.00E+00
cellular response to biotic stimulus (GO:0071216)	9	0	0.04	-	 < 0.01	1.00E+00
positive regulation of cell cycle G1/S phase transition (GO:1902808)	8	0	0.04	-	 < 0.01	1.00E+00
leucine biosynthetic process (GO:0009098)	1	0	0	-	 < 0.01	1.00E+00
regulation of cell cycle G1/S phase transition (GO:1902806)	18	0	0.09	-	 < 0.01	1.00E+00
chaperone cofactor-dependent protein refolding (GO:0051085)	7	0	0.03	-	 < 0.01	1.00E+00
response to oxygen levels (GO:0070482)	17	0	0.08	-	 < 0.01	1.00E+00
protein localization to plasma membrane (GO:0072659)	46	0	0.22	-	 < 0.01	1.00E+00
"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)"	13	0	0.06	-	 < 0.01	1.00E+00
protein localization to membrane (GO:0072657)	112	0	0.54	-	 < 0.01	1.00E+00
establishment of protein localization to mitochondrion (GO:0072655)	20	0	0.1	-	 < 0.01	1.00E+00
sulfur compound catabolic process (GO:0044273)	7	0	0.03	-	 < 0.01	1.00E+00
glycogen biosynthetic process (GO:0005978)	2	0	0.01	-	 < 0.01	1.00E+00
vesicle cytoskeletal trafficking (GO:0099518)	17	0	0.08	-	 < 0.01	1.00E+00
glycogen metabolic process (GO:0005977)	6	0	0.03	-	 < 0.01	1.00E+00
cellular nitrogen compound biosynthetic process (GO:0044271)	375	0	1.81	-	 < 0.01	2.65E-01
polysaccharide metabolic process (GO:0005976)	13	0	0.06	-	 < 0.01	1.00E+00
cellular nitrogen compound catabolic process (GO:0044270)	116	0	0.56	-	 < 0.01	1.00E+00
response to organonitrogen compound (GO:0010243)	94	0	0.45	-	 < 0.01	1.00E+00
lysine biosynthetic process (GO:0009085)	1	0	0	-	 < 0.01	1.00E+00
cellular response to transforming growth factor beta stimulus (GO:0071560)	21	0	0.1	-	 < 0.01	1.00E+00
branched-chain amino acid biosynthetic process (GO:0009082)	3	0	0.01	-	 < 0.01	1.00E+00
branched-chain amino acid metabolic process (GO:0009081)	12	0	0.06	-	 < 0.01	1.00E+00
rRNA base methylation (GO:0070475)	5	0	0.02	-	 < 0.01	1.00E+00
ncRNA transcription (GO:0098781)	16	0	0.08	-	 < 0.01	1.00E+00
regulation of proteasomal protein catabolic process (GO:0061136)	32	0	0.15	-	 < 0.01	1.00E+00
cellular response to oxygen-containing compound (GO:1901701)	93	0	0.45	-	 < 0.01	1.00E+00
receptor signaling pathway via STAT (GO:0097696)	11	0	0.05	-	 < 0.01	1.00E+00
response to oxygen-containing compound (GO:1901700)	115	0	0.56	-	 < 0.01	1.00E+00
cardiac muscle contraction (GO:0060048)	15	0	0.07	-	 < 0.01	1.00E+00
heart contraction (GO:0060047)	19	0	0.09	-	 < 0.01	1.00E+00
response to transforming growth factor beta (GO:0071559)	21	0	0.1	-	 < 0.01	1.00E+00
organophosphate catabolic process (GO:0046434)	46	0	0.22	-	 < 0.01	1.00E+00
vesicle fusion to plasma membrane (GO:0099500)	6	0	0.03	-	 < 0.01	1.00E+00
retina development in camera-type eye (GO:0060041)	2	0	0.01	-	 < 0.01	1.00E+00
multicellular organismal reproductive process (GO:0048609)	29	0	0.14	-	 < 0.01	1.00E+00
cellular response to amino acid starvation (GO:0034198)	9	0	0.04	-	 < 0.01	1.00E+00
peptide catabolic process (GO:0043171)	12	0	0.06	-	 < 0.01	1.00E+00
reproductive structure development (GO:0048608)	2	0	0.01	-	 < 0.01	1.00E+00
aromatic amino acid family catabolic process (GO:0009074)	9	0	0.04	-	 < 0.01	1.00E+00
aromatic amino acid metabolic process (GO:0009072)	12	0	0.06	-	 < 0.01	1.00E+00
inorganic ion homeostasis (GO:0098771)	100	0	0.48	-	 < 0.01	1.00E+00
MAPK cascade (GO:0000165)	19	0	0.09	-	 < 0.01	1.00E+00
regulation of immune effector process (GO:0002697)	6	0	0.03	-	 < 0.01	1.00E+00
positive regulation of leukocyte activation (GO:0002696)	8	0	0.04	-	 < 0.01	1.00E+00
positive regulation of receptor signaling pathway via JAK-STAT (GO:0046427)	5	0	0.02	-	 < 0.01	1.00E+00
negative regulation of leukocyte activation (GO:0002695)	6	0	0.03	-	 < 0.01	1.00E+00
regulation of leukocyte activation (GO:0002694)	14	0	0.07	-	 < 0.01	1.00E+00
regulation of receptor signaling pathway via JAK-STAT (GO:0046425)	9	0	0.04	-	 < 0.01	1.00E+00
microtubule polymerization (GO:0046785)	19	0	0.09	-	 < 0.01	1.00E+00
negative regulation of small GTPase mediated signal transduction (GO:0051058)	11	0	0.05	-	 < 0.01	1.00E+00
positive regulation of leukocyte chemotaxis (GO:0002690)	7	0	0.03	-	 < 0.01	1.00E+00
aspartate family amino acid biosynthetic process (GO:0009067)	10	0	0.05	-	 < 0.01	1.00E+00
ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway (GO:0043162)	12	0	0.06	-	 < 0.01	1.00E+00
regulation of small GTPase mediated signal transduction (GO:0051056)	47	0	0.23	-	 < 0.01	1.00E+00
aspartate family amino acid metabolic process (GO:0009066)	14	0	0.07	-	 < 0.01	1.00E+00
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	110	0	0.53	-	 < 0.01	1.00E+00
negative regulation of DNA metabolic process (GO:0051053)	16	0	0.08	-	 < 0.01	1.00E+00
amino acid catabolic process (GO:0009063)	35	0	0.17	-	 < 0.01	1.00E+00
regulation of DNA metabolic process (GO:0051052)	36	0	0.17	-	 < 0.01	1.00E+00
fatty acid catabolic process (GO:0009062)	32	0	0.15	-	 < 0.01	1.00E+00
negative regulation of transport (GO:0051051)	33	0	0.16	-	 < 0.01	1.00E+00
aerobic respiration (GO:0009060)	30	0	0.14	-	 < 0.01	1.00E+00
cellular respiration (GO:0045333)	35	0	0.17	-	 < 0.01	1.00E+00
phospholipid translocation (GO:0045332)	22	0	0.11	-	 < 0.01	1.00E+00
intraciliary transport (GO:0042073)	19	0	0.09	-	 < 0.01	1.00E+00
rRNA modification (GO:0000154)	18	0	0.09	-	 < 0.01	1.00E+00
mitochondrial gene expression (GO:0140053)	27	0	0.13	-	 < 0.01	1.00E+00
protein O-linked mannosylation (GO:0035269)	5	0	0.02	-	 < 0.01	1.00E+00
cellular lipid catabolic process (GO:0044242)	63	0	0.3	-	 < 0.01	1.00E+00
protein mannosylation (GO:0035268)	8	0	0.04	-	 < 0.01	1.00E+00
positive regulation of leukocyte migration (GO:0002687)	12	0	0.06	-	 < 0.01	1.00E+00
cytoskeleton-dependent intracellular transport (GO:0030705)	60	0	0.29	-	 < 0.01	1.00E+00
regulation of leukocyte migration (GO:0002685)	15	0	0.07	-	 < 0.01	1.00E+00
positive regulation of immune system process (GO:0002684)	73	0	0.35	-	 < 0.01	1.00E+00
DNA biosynthetic process (GO:0071897)	20	0	0.1	-	 < 0.01	1.00E+00
macromolecule catabolic process (GO:0009057)	340	0	1.64	-	 < 0.01	4.14E-01
regulation of monoatomic cation transmembrane transport (GO:1904062)	46	0	0.22	-	 < 0.01	1.00E+00
detoxification (GO:0098754)	7	0	0.03	-	 < 0.01	1.00E+00
